The seed number is set to 123
loop_count=100/100000, max_score=64.9788, min_score=28.5824, time=0.0052236h
loop_count=200/100000, max_score=67.6785, min_score=26.9006, time=0.0095904h
loop_count=300/100000, max_score=68.2436, min_score=26.9006, time=0.0138935h
loop_count=400/100000, max_score=72.6608, min_score=26.9006, time=0.0181504h
loop_count=500/100000, max_score=72.6608, min_score=26.9006, time=0.0225349h
loop_count=600/100000, max_score=72.6608, min_score=28.0301, time=0.0271069h
loop_count=700/100000, max_score=72.6608, min_score=33.2933, time=0.0316422h
loop_count=800/100000, max_score=73.2693, min_score=37.0429, time=0.0362708h
loop_count=900/100000, max_score=73.2693, min_score=39.6168, time=0.0408205h
loop_count=1000/100000, max_score=77.9625, min_score=41.9302, time=0.045553h
loop_count=1100/100000, max_score=79.5039, min_score=44.0446, time=0.0502814h
loop_count=1200/100000, max_score=79.5039, min_score=46.182, time=0.0553091h
loop_count=1300/100000, max_score=79.5039, min_score=47.6564, time=0.0602595h
loop_count=1400/100000, max_score=79.5039, min_score=48.962, time=0.0650237h
loop_count=1500/100000, max_score=79.5039, min_score=50.5154, time=0.0700696h
loop_count=1600/100000, max_score=79.5039, min_score=51.7522, time=0.0748844h
loop_count=1700/100000, max_score=79.5039, min_score=52.9565, time=0.0798654h
loop_count=1800/100000, max_score=79.5039, min_score=53.9443, time=0.0846925h
loop_count=1900/100000, max_score=79.5039, min_score=54.7149, time=0.0892789h
loop_count=2000/100000, max_score=79.5039, min_score=55.485, time=0.0940102h
loop_count=2100/100000, max_score=79.5039, min_score=56.189, time=0.0988888h
loop_count=2200/100000, max_score=79.5039, min_score=56.9543, time=0.103492h
loop_count=2300/100000, max_score=79.5039, min_score=57.7111, time=0.107923h
loop_count=2400/100000, max_score=79.5039, min_score=58.2475, time=0.113045h
loop_count=2500/100000, max_score=79.608, min_score=58.8376, time=0.117948h
loop_count=2600/100000, max_score=79.608, min_score=59.3391, time=0.122438h
loop_count=2700/100000, max_score=79.6884, min_score=59.6897, time=0.126684h
loop_count=2800/100000, max_score=82.965, min_score=60.3893, time=0.131627h
loop_count=2900/100000, max_score=82.965, min_score=60.6589, time=0.135836h
loop_count=3000/100000, max_score=82.965, min_score=61.208, time=0.140341h
loop_count=3100/100000, max_score=82.965, min_score=61.6514, time=0.144826h
loop_count=3200/100000, max_score=82.965, min_score=62.0321, time=0.149524h
loop_count=3300/100000, max_score=82.965, min_score=62.4735, time=0.154552h
loop_count=3400/100000, max_score=82.965, min_score=62.8314, time=0.15916h
loop_count=3500/100000, max_score=82.965, min_score=63.0747, time=0.163697h
loop_count=3600/100000, max_score=82.965, min_score=63.3425, time=0.168319h
loop_count=3700/100000, max_score=82.965, min_score=63.7619, time=0.173116h
loop_count=3800/100000, max_score=82.965, min_score=64.0315, time=0.177843h
loop_count=3900/100000, max_score=82.965, min_score=64.3509, time=0.182749h
loop_count=4000/100000, max_score=82.965, min_score=64.6656, time=0.187318h
loop_count=4100/100000, max_score=82.965, min_score=65.0384, time=0.192099h
loop_count=4200/100000, max_score=82.965, min_score=65.4559, time=0.196669h
loop_count=4300/100000, max_score=82.965, min_score=65.5871, time=0.201089h
loop_count=4400/100000, max_score=82.965, min_score=65.9817, time=0.205978h
loop_count=4500/100000, max_score=82.965, min_score=66.1585, time=0.211059h
loop_count=4600/100000, max_score=82.965, min_score=66.451, time=0.215591h
loop_count=4700/100000, max_score=82.965, min_score=66.7748, time=0.220169h
loop_count=4800/100000, max_score=82.965, min_score=66.984, time=0.224699h
loop_count=4900/100000, max_score=82.965, min_score=67.204, time=0.229331h
loop_count=5000/100000, max_score=82.965, min_score=67.4726, time=0.233844h
loop_count=5100/100000, max_score=82.965, min_score=67.61, time=0.238189h
loop_count=5200/100000, max_score=82.965, min_score=67.8718, time=0.242694h
loop_count=5300/100000, max_score=82.965, min_score=67.9719, time=0.247202h
loop_count=5400/100000, max_score=82.965, min_score=68.1243, time=0.251553h
loop_count=5500/100000, max_score=82.965, min_score=68.2099, time=0.25602h
loop_count=5600/100000, max_score=82.965, min_score=68.4202, time=0.260584h
loop_count=5700/100000, max_score=82.965, min_score=68.5631, time=0.265194h
loop_count=5800/100000, max_score=82.965, min_score=68.7783, time=0.26988h
loop_count=5900/100000, max_score=82.965, min_score=68.9317, time=0.274473h
loop_count=6000/100000, max_score=82.965, min_score=69.1601, time=0.278707h
loop_count=6100/100000, max_score=82.965, min_score=69.3578, time=0.283264h
loop_count=6200/100000, max_score=82.965, min_score=69.4781, time=0.287831h
loop_count=6300/100000, max_score=82.965, min_score=69.6268, time=0.292731h
loop_count=6400/100000, max_score=82.965, min_score=69.7459, time=0.297046h
loop_count=6500/100000, max_score=82.965, min_score=69.8083, time=0.30171h
loop_count=6600/100000, max_score=82.965, min_score=69.9424, time=0.306415h
loop_count=6700/100000, max_score=82.965, min_score=70.1163, time=0.310912h
loop_count=6800/100000, max_score=82.965, min_score=70.263, time=0.315453h
loop_count=6900/100000, max_score=82.965, min_score=70.3786, time=0.320078h
loop_count=7000/100000, max_score=82.965, min_score=70.5058, time=0.324905h
loop_count=7100/100000, max_score=82.965, min_score=70.6047, time=0.329641h
loop_count=7200/100000, max_score=82.965, min_score=70.7951, time=0.334454h
loop_count=7300/100000, max_score=82.965, min_score=71.0117, time=0.339h
loop_count=7400/100000, max_score=82.965, min_score=71.2552, time=0.343733h
loop_count=7500/100000, max_score=82.965, min_score=71.353, time=0.348408h
loop_count=7600/100000, max_score=82.965, min_score=71.4406, time=0.35302h
loop_count=7700/100000, max_score=82.965, min_score=71.5222, time=0.357725h
loop_count=7800/100000, max_score=82.965, min_score=71.5938, time=0.362117h
loop_count=7900/100000, max_score=82.965, min_score=71.7737, time=0.366808h
loop_count=8000/100000, max_score=82.965, min_score=71.8789, time=0.371483h
loop_count=8100/100000, max_score=82.965, min_score=71.9954, time=0.375975h
loop_count=8200/100000, max_score=82.965, min_score=72.1142, time=0.380645h
loop_count=8300/100000, max_score=82.965, min_score=72.2463, time=0.385298h
loop_count=8400/100000, max_score=82.965, min_score=72.3284, time=0.389575h
loop_count=8500/100000, max_score=82.965, min_score=72.5145, time=0.394446h
loop_count=8600/100000, max_score=82.965, min_score=72.6098, time=0.399031h
loop_count=8700/100000, max_score=82.965, min_score=72.7028, time=0.403618h
loop_count=8800/100000, max_score=82.965, min_score=72.7865, time=0.408364h
loop_count=8900/100000, max_score=86.0128, min_score=72.893, time=0.412972h
loop_count=9000/100000, max_score=86.0128, min_score=72.9724, time=0.417488h
loop_count=9100/100000, max_score=86.0128, min_score=73.0524, time=0.422034h
loop_count=9200/100000, max_score=86.0128, min_score=73.17, time=0.426633h
loop_count=9300/100000, max_score=86.0128, min_score=73.2528, time=0.431143h
loop_count=9400/100000, max_score=86.0128, min_score=73.3898, time=0.43587h
loop_count=9500/100000, max_score=86.0128, min_score=73.5011, time=0.440531h
loop_count=9600/100000, max_score=86.0128, min_score=73.5945, time=0.445094h
loop_count=9700/100000, max_score=86.0128, min_score=73.6892, time=0.450083h
loop_count=9800/100000, max_score=86.1175, min_score=73.7503, time=0.45479h
loop_count=9900/100000, max_score=86.1175, min_score=73.843, time=0.459649h
loop_count=10000/100000, max_score=86.2739, min_score=73.9183, time=0.464205h
loop_count=10100/100000, max_score=86.2739, min_score=73.9764, time=0.46866h
loop_count=10200/100000, max_score=86.2739, min_score=74.1051, time=0.473425h
loop_count=10300/100000, max_score=86.2739, min_score=74.1882, time=0.478234h
loop_count=10400/100000, max_score=86.2739, min_score=74.2637, time=0.482826h
loop_count=10500/100000, max_score=86.485, min_score=74.2987, time=0.487386h
loop_count=10600/100000, max_score=86.485, min_score=74.4032, time=0.491937h
loop_count=10700/100000, max_score=86.485, min_score=74.5571, time=0.496626h
loop_count=10800/100000, max_score=86.485, min_score=74.6523, time=0.501068h
loop_count=10900/100000, max_score=86.485, min_score=74.7858, time=0.505967h
loop_count=11000/100000, max_score=86.485, min_score=74.9206, time=0.511038h
loop_count=11100/100000, max_score=86.485, min_score=75.0628, time=0.516005h
loop_count=11200/100000, max_score=86.485, min_score=75.2352, time=0.520695h
loop_count=11300/100000, max_score=86.485, min_score=75.3198, time=0.525209h
loop_count=11400/100000, max_score=86.485, min_score=75.496, time=0.529913h
loop_count=11500/100000, max_score=86.485, min_score=75.5481, time=0.534504h
loop_count=11600/100000, max_score=86.485, min_score=75.6297, time=0.539368h
loop_count=11700/100000, max_score=86.485, min_score=75.7959, time=0.544019h
loop_count=11800/100000, max_score=86.485, min_score=75.9054, time=0.548616h
loop_count=11900/100000, max_score=86.485, min_score=75.9809, time=0.553492h
loop_count=12000/100000, max_score=86.485, min_score=76.0316, time=0.558109h
loop_count=12100/100000, max_score=86.485, min_score=76.1272, time=0.562974h
loop_count=12200/100000, max_score=86.485, min_score=76.2489, time=0.567761h
loop_count=12300/100000, max_score=86.485, min_score=76.3526, time=0.572604h
loop_count=12400/100000, max_score=86.485, min_score=76.422, time=0.577252h
loop_count=12500/100000, max_score=86.485, min_score=76.4775, time=0.581847h
loop_count=12600/100000, max_score=86.485, min_score=76.5254, time=0.586503h
loop_count=12700/100000, max_score=86.485, min_score=76.6219, time=0.591142h
loop_count=12800/100000, max_score=86.485, min_score=76.69, time=0.595763h
loop_count=12900/100000, max_score=86.485, min_score=76.8104, time=0.600526h
loop_count=13000/100000, max_score=86.485, min_score=76.926, time=0.604901h
loop_count=13100/100000, max_score=86.485, min_score=77.0894, time=0.60934h
loop_count=13200/100000, max_score=86.485, min_score=77.2277, time=0.613903h
loop_count=13300/100000, max_score=86.485, min_score=77.3232, time=0.618479h
loop_count=13400/100000, max_score=86.485, min_score=77.4243, time=0.622978h
loop_count=13500/100000, max_score=86.7371, min_score=77.5176, time=0.627759h
loop_count=13600/100000, max_score=86.7371, min_score=77.6142, time=0.6328h
loop_count=13700/100000, max_score=86.7371, min_score=77.6758, time=0.637455h
loop_count=13800/100000, max_score=86.7371, min_score=77.7297, time=0.642203h
loop_count=13900/100000, max_score=86.7371, min_score=77.763, time=0.646776h
loop_count=14000/100000, max_score=86.7371, min_score=77.8124, time=0.651624h
loop_count=14100/100000, max_score=86.7371, min_score=77.8572, time=0.6566h
loop_count=14200/100000, max_score=87.5993, min_score=77.8951, time=0.661085h
loop_count=14300/100000, max_score=87.5993, min_score=77.925, time=0.66566h
loop_count=14400/100000, max_score=87.6875, min_score=77.9895, time=0.670297h
loop_count=14500/100000, max_score=87.6875, min_score=78.0725, time=0.67502h
loop_count=14600/100000, max_score=87.6875, min_score=78.1821, time=0.679902h
loop_count=14700/100000, max_score=87.711, min_score=78.2738, time=0.684495h
loop_count=14800/100000, max_score=88.3088, min_score=78.3387, time=0.689008h
loop_count=14900/100000, max_score=88.3088, min_score=78.4595, time=0.693876h
loop_count=15000/100000, max_score=88.3088, min_score=78.5185, time=0.698807h
loop_count=15100/100000, max_score=88.3088, min_score=78.6024, time=0.703572h
loop_count=15200/100000, max_score=88.3088, min_score=78.6753, time=0.708589h
loop_count=15300/100000, max_score=88.3088, min_score=78.7116, time=0.713321h
loop_count=15400/100000, max_score=88.4485, min_score=78.7704, time=0.717728h
loop_count=15500/100000, max_score=88.4485, min_score=78.809, time=0.722877h
loop_count=15600/100000, max_score=88.4485, min_score=78.8467, time=0.727379h
loop_count=15700/100000, max_score=88.4485, min_score=78.9205, time=0.731816h
loop_count=15800/100000, max_score=88.4485, min_score=78.9574, time=0.736621h
loop_count=15900/100000, max_score=88.4485, min_score=79.0144, time=0.741346h
loop_count=16000/100000, max_score=88.4485, min_score=79.0737, time=0.745916h
loop_count=16100/100000, max_score=88.4485, min_score=79.1675, time=0.750637h
loop_count=16200/100000, max_score=88.4485, min_score=79.2279, time=0.755484h
loop_count=16300/100000, max_score=88.4485, min_score=79.3443, time=0.76049h
loop_count=16400/100000, max_score=88.4485, min_score=79.3791, time=0.765187h
loop_count=16500/100000, max_score=88.4485, min_score=79.4346, time=0.769801h
loop_count=16600/100000, max_score=88.4485, min_score=79.475, time=0.774206h
loop_count=16700/100000, max_score=88.4485, min_score=79.518, time=0.77904h
loop_count=16800/100000, max_score=88.4485, min_score=79.5711, time=0.783716h
loop_count=16900/100000, max_score=88.4485, min_score=79.62, time=0.788334h
loop_count=17000/100000, max_score=88.4485, min_score=79.6884, time=0.793074h
loop_count=17100/100000, max_score=88.4485, min_score=79.7677, time=0.797927h
loop_count=17200/100000, max_score=88.9703, min_score=79.7909, time=0.802518h
loop_count=17300/100000, max_score=88.9703, min_score=79.8231, time=0.807318h
loop_count=17400/100000, max_score=88.9703, min_score=79.8962, time=0.812345h
loop_count=17500/100000, max_score=88.9703, min_score=79.914, time=0.816859h
loop_count=17600/100000, max_score=88.9703, min_score=80.0176, time=0.821789h
loop_count=17700/100000, max_score=88.9703, min_score=80.0735, time=0.826614h
loop_count=17800/100000, max_score=88.9703, min_score=80.1321, time=0.831346h
loop_count=17900/100000, max_score=88.9703, min_score=80.1667, time=0.835928h
loop_count=18000/100000, max_score=88.9703, min_score=80.2136, time=0.840389h
loop_count=18100/100000, max_score=90.4534, min_score=80.2704, time=0.845147h
loop_count=18200/100000, max_score=90.4534, min_score=80.376, time=0.850372h
loop_count=18300/100000, max_score=90.4534, min_score=80.4888, time=0.855083h
loop_count=18400/100000, max_score=90.4534, min_score=80.5808, time=0.859914h
loop_count=18500/100000, max_score=90.4534, min_score=80.6662, time=0.864647h
loop_count=18600/100000, max_score=90.4534, min_score=80.6945, time=0.869264h
loop_count=18700/100000, max_score=90.4534, min_score=80.748, time=0.874104h
loop_count=18800/100000, max_score=90.4534, min_score=80.782, time=0.878435h
loop_count=18900/100000, max_score=90.4534, min_score=80.8207, time=0.883355h
loop_count=19000/100000, max_score=90.4534, min_score=80.8744, time=0.887834h
loop_count=19100/100000, max_score=90.4534, min_score=80.9266, time=0.892703h
loop_count=19200/100000, max_score=90.4534, min_score=80.9565, time=0.897208h
loop_count=19300/100000, max_score=90.4534, min_score=81.0073, time=0.902038h
loop_count=19400/100000, max_score=90.4534, min_score=81.0733, time=0.906793h
loop_count=19500/100000, max_score=90.4534, min_score=81.2005, time=0.911798h
loop_count=19600/100000, max_score=90.4534, min_score=81.2206, time=0.91657h
loop_count=19700/100000, max_score=90.4534, min_score=81.2743, time=0.921595h
loop_count=19800/100000, max_score=90.4534, min_score=81.3403, time=0.926852h
loop_count=19900/100000, max_score=90.4534, min_score=81.4187, time=0.931307h
loop_count=20000/100000, max_score=90.4534, min_score=81.4903, time=0.936044h
loop_count=20100/100000, max_score=90.4534, min_score=81.5564, time=0.94092h
loop_count=20200/100000, max_score=90.6676, min_score=81.6307, time=0.945643h
loop_count=20300/100000, max_score=90.6676, min_score=81.6888, time=0.950327h
loop_count=20400/100000, max_score=90.6676, min_score=81.7523, time=0.955172h
loop_count=20500/100000, max_score=90.6676, min_score=81.8027, time=0.959889h
loop_count=20600/100000, max_score=90.6676, min_score=81.8681, time=0.964641h
loop_count=20700/100000, max_score=90.6676, min_score=81.9347, time=0.969336h
loop_count=20800/100000, max_score=90.6676, min_score=82.0285, time=0.974189h
loop_count=20900/100000, max_score=90.6676, min_score=82.0781, time=0.97878h
loop_count=21000/100000, max_score=90.7605, min_score=82.1077, time=0.983502h
loop_count=21100/100000, max_score=90.7605, min_score=82.1266, time=0.987823h
loop_count=21200/100000, max_score=90.7605, min_score=82.1642, time=0.992419h
loop_count=21300/100000, max_score=90.7605, min_score=82.1961, time=0.996978h
loop_count=21400/100000, max_score=90.7605, min_score=82.2427, time=1.00152h
loop_count=21500/100000, max_score=90.7605, min_score=82.311, time=1.00654h
loop_count=21600/100000, max_score=90.7605, min_score=82.3577, time=1.01159h
loop_count=21700/100000, max_score=90.7605, min_score=82.4095, time=1.01628h
loop_count=21800/100000, max_score=90.7605, min_score=82.4602, time=1.02113h
loop_count=21900/100000, max_score=90.7605, min_score=82.5175, time=1.02585h
loop_count=22000/100000, max_score=90.7605, min_score=82.5987, time=1.0307h
loop_count=22100/100000, max_score=90.7605, min_score=82.6623, time=1.03535h
loop_count=22200/100000, max_score=90.7679, min_score=82.6826, time=1.04011h
loop_count=22300/100000, max_score=90.7679, min_score=82.7036, time=1.04474h
loop_count=22400/100000, max_score=90.7679, min_score=82.7683, time=1.04922h
loop_count=22500/100000, max_score=90.7679, min_score=82.8169, time=1.05379h
loop_count=22600/100000, max_score=90.7679, min_score=82.8889, time=1.05877h
loop_count=22700/100000, max_score=90.7679, min_score=82.9362, time=1.0637h
loop_count=22800/100000, max_score=90.7679, min_score=83.0465, time=1.06871h
loop_count=22900/100000, max_score=90.7679, min_score=83.1367, time=1.07345h
loop_count=23000/100000, max_score=90.7679, min_score=83.2146, time=1.07815h
loop_count=23100/100000, max_score=90.7679, min_score=83.2818, time=1.08281h
loop_count=23200/100000, max_score=90.7679, min_score=83.3436, time=1.08763h
loop_count=23300/100000, max_score=90.7679, min_score=83.4299, time=1.09224h
loop_count=23400/100000, max_score=90.7679, min_score=83.5299, time=1.09708h
loop_count=23500/100000, max_score=90.7679, min_score=83.657, time=1.10236h
loop_count=23600/100000, max_score=91.8573, min_score=83.7285, time=1.10741h
loop_count=23700/100000, max_score=91.8573, min_score=83.7955, time=1.11248h
loop_count=23800/100000, max_score=91.8573, min_score=83.8491, time=1.11738h
loop_count=23900/100000, max_score=91.8573, min_score=83.8837, time=1.12235h
loop_count=24000/100000, max_score=91.8573, min_score=83.9523, time=1.12695h
loop_count=24100/100000, max_score=91.8573, min_score=84.0056, time=1.1318h
loop_count=24200/100000, max_score=91.8573, min_score=84.0742, time=1.1366h
loop_count=24300/100000, max_score=91.8573, min_score=84.1414, time=1.14167h
loop_count=24400/100000, max_score=91.8573, min_score=84.2164, time=1.14676h
loop_count=24500/100000, max_score=91.8573, min_score=84.248, time=1.15114h
loop_count=24600/100000, max_score=91.8573, min_score=84.2959, time=1.15578h
loop_count=24700/100000, max_score=91.8573, min_score=84.3274, time=1.16023h
loop_count=24800/100000, max_score=91.8573, min_score=84.375, time=1.16528h
loop_count=24900/100000, max_score=91.8573, min_score=84.4324, time=1.16978h
loop_count=25000/100000, max_score=91.8573, min_score=84.4878, time=1.17443h
loop_count=25100/100000, max_score=91.8573, min_score=84.5547, time=1.17942h
loop_count=25200/100000, max_score=91.8573, min_score=84.5926, time=1.18397h
loop_count=25300/100000, max_score=91.8573, min_score=84.6421, time=1.18873h
loop_count=25400/100000, max_score=91.8573, min_score=84.6702, time=1.19339h
loop_count=25500/100000, max_score=91.8573, min_score=84.692, time=1.19801h
loop_count=25600/100000, max_score=91.8573, min_score=84.794, time=1.20295h
loop_count=25700/100000, max_score=91.8573, min_score=84.8608, time=1.20765h
loop_count=25800/100000, max_score=91.8573, min_score=84.9577, time=1.21263h
loop_count=25900/100000, max_score=91.8573, min_score=85.0174, time=1.21781h
loop_count=26000/100000, max_score=91.8573, min_score=85.0424, time=1.22259h
loop_count=26100/100000, max_score=91.8573, min_score=85.097, time=1.22748h
loop_count=26200/100000, max_score=91.8573, min_score=85.1493, time=1.23225h
loop_count=26300/100000, max_score=91.8573, min_score=85.1868, time=1.23711h
loop_count=26400/100000, max_score=91.8573, min_score=85.2245, time=1.2415h
loop_count=26500/100000, max_score=91.8573, min_score=85.2731, time=1.24636h
loop_count=26600/100000, max_score=91.8573, min_score=85.3167, time=1.25105h
loop_count=26700/100000, max_score=91.8573, min_score=85.3424, time=1.25542h
loop_count=26800/100000, max_score=91.8573, min_score=85.3693, time=1.26012h
loop_count=26900/100000, max_score=91.8573, min_score=85.4187, time=1.26487h
loop_count=27000/100000, max_score=91.8573, min_score=85.4819, time=1.26964h
loop_count=27100/100000, max_score=91.8573, min_score=85.5617, time=1.27453h
loop_count=27200/100000, max_score=91.8573, min_score=85.5963, time=1.27944h
loop_count=27300/100000, max_score=91.8573, min_score=85.692, time=1.28418h
loop_count=27400/100000, max_score=91.8573, min_score=85.7443, time=1.28878h
loop_count=27500/100000, max_score=91.8573, min_score=85.799, time=1.2933h
loop_count=27600/100000, max_score=91.8573, min_score=85.8544, time=1.29798h
loop_count=27700/100000, max_score=91.8573, min_score=85.9256, time=1.30285h
loop_count=27800/100000, max_score=91.8573, min_score=85.9475, time=1.30736h
loop_count=27900/100000, max_score=91.8573, min_score=86.0054, time=1.31189h
loop_count=28000/100000, max_score=91.8573, min_score=86.0591, time=1.31637h
loop_count=28100/100000, max_score=91.8573, min_score=86.103, time=1.32074h
loop_count=28200/100000, max_score=91.8573, min_score=86.1387, time=1.32552h
loop_count=28300/100000, max_score=91.8573, min_score=86.2034, time=1.33053h
loop_count=28400/100000, max_score=92.6535, min_score=86.2292, time=1.33532h
loop_count=28500/100000, max_score=92.6535, min_score=86.274, time=1.34004h
loop_count=28600/100000, max_score=92.6535, min_score=86.3215, time=1.34438h
loop_count=28700/100000, max_score=92.6535, min_score=86.3547, time=1.34921h
loop_count=28800/100000, max_score=92.6535, min_score=86.4053, time=1.35389h
loop_count=28900/100000, max_score=92.6535, min_score=86.4394, time=1.35883h
loop_count=29000/100000, max_score=92.6535, min_score=86.4749, time=1.36349h
loop_count=29100/100000, max_score=92.6535, min_score=86.5056, time=1.36837h
loop_count=29200/100000, max_score=92.6535, min_score=86.5137, time=1.37281h
loop_count=29300/100000, max_score=92.6535, min_score=86.548, time=1.37754h
loop_count=29400/100000, max_score=92.6535, min_score=86.6353, time=1.38254h
loop_count=29500/100000, max_score=92.6535, min_score=86.676, time=1.38742h
loop_count=29600/100000, max_score=92.6535, min_score=86.7335, time=1.39216h
loop_count=29700/100000, max_score=92.6535, min_score=86.7706, time=1.39663h
loop_count=29800/100000, max_score=92.6535, min_score=86.797, time=1.40122h
loop_count=29900/100000, max_score=92.6535, min_score=86.84, time=1.40562h
loop_count=30000/100000, max_score=92.6535, min_score=86.8534, time=1.41011h
loop_count=30100/100000, max_score=92.6535, min_score=86.9007, time=1.41492h
loop_count=30200/100000, max_score=92.6535, min_score=86.9162, time=1.41916h
loop_count=30300/100000, max_score=92.6535, min_score=86.9712, time=1.42377h
loop_count=30400/100000, max_score=92.6535, min_score=87.0141, time=1.42845h
loop_count=30500/100000, max_score=92.6535, min_score=87.0651, time=1.43327h
loop_count=30600/100000, max_score=92.6535, min_score=87.0936, time=1.43776h
loop_count=30700/100000, max_score=92.6535, min_score=87.1246, time=1.44235h
loop_count=30800/100000, max_score=92.6535, min_score=87.1478, time=1.447h
loop_count=30900/100000, max_score=92.6535, min_score=87.1702, time=1.45146h
loop_count=31000/100000, max_score=92.6535, min_score=87.1885, time=1.45583h
loop_count=31100/100000, max_score=92.6535, min_score=87.2007, time=1.46042h
loop_count=31200/100000, max_score=92.6535, min_score=87.2184, time=1.46479h
loop_count=31300/100000, max_score=92.6535, min_score=87.2389, time=1.46937h
loop_count=31400/100000, max_score=92.6535, min_score=87.2724, time=1.47398h
loop_count=31500/100000, max_score=92.6535, min_score=87.2987, time=1.47895h
loop_count=31600/100000, max_score=92.6535, min_score=87.3312, time=1.48332h
loop_count=31700/100000, max_score=92.6535, min_score=87.3514, time=1.48813h
loop_count=31800/100000, max_score=92.6535, min_score=87.3837, time=1.49296h
loop_count=31900/100000, max_score=92.6535, min_score=87.4088, time=1.49795h
loop_count=32000/100000, max_score=92.6535, min_score=87.4405, time=1.50254h
loop_count=32100/100000, max_score=92.6535, min_score=87.4542, time=1.50724h
loop_count=32200/100000, max_score=92.6535, min_score=87.4925, time=1.51212h
loop_count=32300/100000, max_score=92.6535, min_score=87.5244, time=1.51727h
loop_count=32400/100000, max_score=92.6535, min_score=87.5471, time=1.52201h
loop_count=32500/100000, max_score=92.6535, min_score=87.5791, time=1.52696h
loop_count=32600/100000, max_score=92.6535, min_score=87.6036, time=1.53179h
loop_count=32700/100000, max_score=92.6535, min_score=87.6315, time=1.53655h
loop_count=32800/100000, max_score=92.6535, min_score=87.6863, time=1.54107h
loop_count=32900/100000, max_score=92.6535, min_score=87.7113, time=1.54574h
loop_count=33000/100000, max_score=92.6535, min_score=87.7512, time=1.55033h
loop_count=33100/100000, max_score=92.6535, min_score=87.7709, time=1.55479h
loop_count=33200/100000, max_score=92.6535, min_score=87.7994, time=1.55947h
loop_count=33300/100000, max_score=92.6535, min_score=87.8316, time=1.56404h
loop_count=33400/100000, max_score=92.6535, min_score=87.8734, time=1.569h
loop_count=33500/100000, max_score=92.6535, min_score=87.9048, time=1.57335h
loop_count=33600/100000, max_score=92.6535, min_score=87.9301, time=1.5782h
loop_count=33700/100000, max_score=92.6535, min_score=87.9656, time=1.58244h
loop_count=33800/100000, max_score=92.6535, min_score=88.0001, time=1.58711h
loop_count=33900/100000, max_score=92.6535, min_score=88.0222, time=1.59184h
loop_count=34000/100000, max_score=92.6535, min_score=88.0529, time=1.59633h
loop_count=34100/100000, max_score=92.6535, min_score=88.0833, time=1.60084h
loop_count=34200/100000, max_score=92.6535, min_score=88.123, time=1.60509h
loop_count=34300/100000, max_score=92.6535, min_score=88.1792, time=1.6101h
loop_count=34400/100000, max_score=92.6535, min_score=88.213, time=1.61468h
loop_count=34500/100000, max_score=92.6535, min_score=88.2411, time=1.6192h
loop_count=34600/100000, max_score=92.6535, min_score=88.272, time=1.62371h
loop_count=34700/100000, max_score=92.6535, min_score=88.3088, time=1.62828h
loop_count=34800/100000, max_score=92.6535, min_score=88.3196, time=1.63242h
loop_count=34900/100000, max_score=92.6535, min_score=88.3397, time=1.63722h
loop_count=35000/100000, max_score=92.6535, min_score=88.3791, time=1.64198h
loop_count=35100/100000, max_score=92.6535, min_score=88.4026, time=1.64639h
loop_count=35200/100000, max_score=92.6535, min_score=88.4147, time=1.65082h
loop_count=35300/100000, max_score=92.6535, min_score=88.4418, time=1.65525h
loop_count=35400/100000, max_score=92.6535, min_score=88.4797, time=1.65991h
loop_count=35500/100000, max_score=92.6535, min_score=88.5045, time=1.66452h
loop_count=35600/100000, max_score=92.6535, min_score=88.5211, time=1.66949h
loop_count=35700/100000, max_score=92.6535, min_score=88.5634, time=1.67406h
loop_count=35800/100000, max_score=92.6535, min_score=88.5966, time=1.67881h
loop_count=35900/100000, max_score=92.6535, min_score=88.6409, time=1.68339h
loop_count=36000/100000, max_score=92.6535, min_score=88.6681, time=1.68836h
loop_count=36100/100000, max_score=92.6535, min_score=88.7049, time=1.69294h
loop_count=36200/100000, max_score=92.6535, min_score=88.7455, time=1.69775h
loop_count=36300/100000, max_score=92.6535, min_score=88.7912, time=1.70288h
loop_count=36400/100000, max_score=92.6535, min_score=88.8189, time=1.70736h
loop_count=36500/100000, max_score=92.6535, min_score=88.8604, time=1.7122h
loop_count=36600/100000, max_score=92.6535, min_score=88.8905, time=1.71688h
loop_count=36700/100000, max_score=92.6535, min_score=88.912, time=1.72154h
loop_count=36800/100000, max_score=92.6535, min_score=88.9456, time=1.72603h
loop_count=36900/100000, max_score=92.6535, min_score=88.9647, time=1.73016h
loop_count=37000/100000, max_score=92.6535, min_score=89.0092, time=1.73482h
loop_count=37100/100000, max_score=92.6535, min_score=89.0269, time=1.73956h
loop_count=37200/100000, max_score=92.6535, min_score=89.0611, time=1.74407h
loop_count=37300/100000, max_score=92.6535, min_score=89.0925, time=1.74878h
loop_count=37400/100000, max_score=92.6535, min_score=89.1401, time=1.75336h
loop_count=37500/100000, max_score=92.6535, min_score=89.188, time=1.75785h
loop_count=37600/100000, max_score=92.6535, min_score=89.2257, time=1.76266h
loop_count=37700/100000, max_score=92.6535, min_score=89.2388, time=1.76679h
