loop_count=6900/100000, max_score=934.501, min_score=866.888, running_time=1.26047h, search_time=0.921202h
loop_count=7000/100000, max_score=934.501, min_score=868.244, running_time=1.28218h, search_time=0.935731h
loop_count=7100/100000, max_score=934.501, min_score=869.266, running_time=1.30322h, search_time=0.950293h
loop_count=7200/100000, max_score=934.501, min_score=870.22, running_time=1.32417h, search_time=0.965086h
loop_count=7300/100000, max_score=934.501, min_score=871.617, running_time=1.34478h, search_time=0.979327h
loop_count=7400/100000, max_score=934.501, min_score=872.962, running_time=1.3647h, search_time=0.993722h
loop_count=7500/100000, max_score=934.501, min_score=874.466, running_time=1.38487h, search_time=1.00803h
loop_count=7600/100000, max_score=934.501, min_score=876.038, running_time=1.40567h, search_time=1.02271h
loop_count=7700/100000, max_score=934.501, min_score=877.19, running_time=1.42735h, search_time=1.0374h
loop_count=7800/100000, max_score=934.501, min_score=879.114, running_time=1.44805h, search_time=1.05177h
loop_count=7900/100000, max_score=934.501, min_score=880.377, running_time=1.46819h, search_time=1.06618h
loop_count=8000/100000, max_score=934.501, min_score=881.307, running_time=1.48948h, search_time=1.08068h
loop_count=8100/100000, max_score=934.501, min_score=882.601, running_time=1.5102h, search_time=1.09521h
loop_count=8200/100000, max_score=934.501, min_score=883.575, running_time=1.53044h, search_time=1.11004h
loop_count=8300/100000, max_score=934.501, min_score=884.953, running_time=1.55385h, search_time=1.12487h
loop_count=8400/100000, max_score=934.501, min_score=886.313, running_time=1.57512h, search_time=1.1393h
loop_count=8500/100000, max_score=934.501, min_score=887.42, running_time=1.59579h, search_time=1.15366h
loop_count=8600/100000, max_score=934.501, min_score=888.011, running_time=1.61694h, search_time=1.16784h
loop_count=8700/100000, max_score=934.501, min_score=889.494, running_time=1.63754h, search_time=1.18199h
loop_count=8800/100000, max_score=934.501, min_score=890.849, running_time=1.658h, search_time=1.19612h
loop_count=8900/100000, max_score=934.501, min_score=891.83, running_time=1.67977h, search_time=1.211h
loop_count=9000/100000, max_score=934.501, min_score=892.962, running_time=1.70099h, search_time=1.2257h
loop_count=9100/100000, max_score=934.501, min_score=893.331, running_time=1.72206h, search_time=1.2402h
loop_count=9200/100000, max_score=934.501, min_score=893.999, running_time=1.74422h, search_time=1.25481h
loop_count=9300/100000, max_score=937.034, min_score=894.895, running_time=1.76509h, search_time=1.26949h
loop_count=9400/100000, max_score=937.034, min_score=895.72, running_time=1.78492h, search_time=1.28418h
loop_count=9500/100000, max_score=937.034, min_score=896.395, running_time=1.80557h, search_time=1.29898h
loop_count=9600/100000, max_score=937.034, min_score=896.926, running_time=1.8279h, search_time=1.31378h
loop_count=9700/100000, max_score=937.034, min_score=897.507, running_time=1.84855h, search_time=1.32807h
loop_count=9800/100000, max_score=937.034, min_score=898.333, running_time=1.87008h, search_time=1.34262h
loop_count=9900/100000, max_score=937.034, min_score=898.857, running_time=1.89129h, search_time=1.35755h
loop_count=10000/100000, max_score=937.034, min_score=899.525, running_time=1.913h, search_time=1.37209h
loop_count=10100/100000, max_score=937.034, min_score=900.027, running_time=1.93467h, search_time=1.38694h
loop_count=10200/100000, max_score=937.034, min_score=900.38, running_time=1.95671h, search_time=1.40127h
loop_count=10300/100000, max_score=937.469, min_score=900.918, running_time=1.97832h, search_time=1.41595h
loop_count=10400/100000, max_score=937.469, min_score=901.376, running_time=1.99997h, search_time=1.43115h
loop_count=10500/100000, max_score=937.469, min_score=901.791, running_time=2.02066h, search_time=1.44571h
loop_count=10600/100000, max_score=937.469, min_score=902.128, running_time=2.04152h, search_time=1.46054h
loop_count=10700/100000, max_score=937.469, min_score=902.698, running_time=2.06241h, search_time=1.47541h
loop_count=10800/100000, max_score=943.099, min_score=903.222, running_time=2.08387h, search_time=1.49019h
loop_count=10900/100000, max_score=943.099, min_score=903.713, running_time=2.10666h, search_time=1.50475h
loop_count=11000/100000, max_score=943.099, min_score=904.024, running_time=2.12848h, search_time=1.5196h
loop_count=11100/100000, max_score=943.099, min_score=904.822, running_time=2.15017h, search_time=1.53479h
loop_count=11200/100000, max_score=943.099, min_score=905.264, running_time=2.17263h, search_time=1.54995h
loop_count=11300/100000, max_score=943.099, min_score=905.817, running_time=2.19575h, search_time=1.5654h
loop_count=11400/100000, max_score=943.099, min_score=906.433, running_time=2.21749h, search_time=1.58031h
loop_count=11500/100000, max_score=943.099, min_score=907.142, running_time=2.24019h, search_time=1.59564h
loop_count=11600/100000, max_score=943.099, min_score=907.622, running_time=2.26298h, search_time=1.61108h
loop_count=11700/100000, max_score=943.099, min_score=908.074, running_time=2.285h, search_time=1.62656h
loop_count=11800/100000, max_score=943.099, min_score=908.633, running_time=2.3073h, search_time=1.6421h
loop_count=11900/100000, max_score=943.099, min_score=909.357, running_time=2.33087h, search_time=1.65767h
loop_count=12000/100000, max_score=943.099, min_score=909.714, running_time=2.35228h, search_time=1.67243h
