The seed number is set to 123
loop_count=100/100000, max_score=772.534, min_score=289.649, time=0.0104326h
loop_count=200/100000, max_score=817.461, min_score=277.216, time=0.0213324h
loop_count=300/100000, max_score=817.461, min_score=277.216, time=0.0314257h
loop_count=400/100000, max_score=838.761, min_score=277.216, time=0.0413744h
loop_count=500/100000, max_score=838.761, min_score=277.216, time=0.0519359h
loop_count=600/100000, max_score=838.761, min_score=288.529, time=0.0637254h
loop_count=700/100000, max_score=838.761, min_score=356.327, time=0.0751966h
loop_count=800/100000, max_score=853.2, min_score=405.342, time=0.0857813h
loop_count=900/100000, max_score=853.2, min_score=437.12, time=0.0963616h
loop_count=1000/100000, max_score=854.85, min_score=481.484, time=0.107642h
loop_count=1100/100000, max_score=854.85, min_score=503.546, time=0.118496h
loop_count=1200/100000, max_score=854.85, min_score=534.851, time=0.131055h
loop_count=1300/100000, max_score=854.85, min_score=556.054, time=0.144421h
loop_count=1400/100000, max_score=854.85, min_score=576.204, time=0.15726h
loop_count=1500/100000, max_score=854.85, min_score=600.133, time=0.169566h
loop_count=1600/100000, max_score=865.185, min_score=613.848, time=0.181106h
loop_count=1700/100000, max_score=865.185, min_score=625.487, time=0.19128h
loop_count=1800/100000, max_score=865.185, min_score=637.235, time=0.201267h
loop_count=1900/100000, max_score=865.185, min_score=649.207, time=0.210786h
loop_count=2000/100000, max_score=878.137, min_score=658.674, time=0.218858h
loop_count=2100/100000, max_score=878.137, min_score=674.455, time=0.229026h
loop_count=2200/100000, max_score=878.137, min_score=681.718, time=0.238057h
loop_count=2300/100000, max_score=878.137, min_score=688.203, time=0.247862h
loop_count=2400/100000, max_score=878.137, min_score=695.182, time=0.25691h
loop_count=2500/100000, max_score=878.137, min_score=702.202, time=0.265682h
loop_count=2600/100000, max_score=878.137, min_score=709.061, time=0.275395h
loop_count=2700/100000, max_score=878.137, min_score=713.832, time=0.283936h
loop_count=2800/100000, max_score=880.716, min_score=720.917, time=0.294958h
loop_count=2900/100000, max_score=880.716, min_score=725.968, time=0.304314h
loop_count=3000/100000, max_score=880.716, min_score=729.957, time=0.313217h
loop_count=3100/100000, max_score=880.716, min_score=733.7, time=0.32385h
loop_count=3200/100000, max_score=880.716, min_score=735.762, time=0.332467h
loop_count=3300/100000, max_score=880.716, min_score=740.099, time=0.343092h
loop_count=3400/100000, max_score=880.716, min_score=744.17, time=0.354035h
loop_count=3500/100000, max_score=880.716, min_score=746.894, time=0.36336h
loop_count=3600/100000, max_score=880.716, min_score=750.31, time=0.372153h
loop_count=3700/100000, max_score=880.716, min_score=752.046, time=0.380134h
loop_count=3800/100000, max_score=880.716, min_score=755.642, time=0.389427h
loop_count=3900/100000, max_score=880.716, min_score=758.433, time=0.397704h
loop_count=4000/100000, max_score=880.716, min_score=761.5, time=0.405055h
loop_count=4100/100000, max_score=880.716, min_score=765.844, time=0.413413h
loop_count=4200/100000, max_score=887.145, min_score=768.737, time=0.4214h
loop_count=4300/100000, max_score=887.145, min_score=771.5, time=0.429753h
loop_count=4400/100000, max_score=887.145, min_score=775.02, time=0.438822h
loop_count=4500/100000, max_score=888.489, min_score=777.227, time=0.447175h
