The seed number is set to 456
loop_count=100/100000, max_score=66.7068, min_score=28.5425, time=0.00438397h
loop_count=200/100000, max_score=66.7068, min_score=28.5425, time=0.00879503h
loop_count=300/100000, max_score=75.0159, min_score=27.8717, time=0.013252h
loop_count=400/100000, max_score=75.0159, min_score=27.8717, time=0.0177236h
loop_count=500/100000, max_score=75.0159, min_score=27.8717, time=0.0219206h
loop_count=600/100000, max_score=76.2684, min_score=27.8717, time=0.0263961h
loop_count=700/100000, max_score=76.2684, min_score=35.2653, time=0.0309266h
loop_count=800/100000, max_score=76.2684, min_score=39.4229, time=0.0353442h
loop_count=900/100000, max_score=76.2684, min_score=41.8044, time=0.039875h
loop_count=1000/100000, max_score=76.2684, min_score=44.0793, time=0.0446255h
loop_count=1100/100000, max_score=76.2684, min_score=45.6561, time=0.0491435h
loop_count=1200/100000, max_score=76.2684, min_score=47.0652, time=0.053987h
loop_count=1300/100000, max_score=76.2684, min_score=48.1711, time=0.0584617h
loop_count=1400/100000, max_score=76.2684, min_score=49.7263, time=0.0633884h
loop_count=1500/100000, max_score=76.2684, min_score=51.215, time=0.068177h
loop_count=1600/100000, max_score=76.2684, min_score=52.5751, time=0.0732524h
loop_count=1700/100000, max_score=76.2684, min_score=53.3402, time=0.0780108h
loop_count=1800/100000, max_score=76.2684, min_score=54.3143, time=0.0830613h
loop_count=1900/100000, max_score=76.2684, min_score=55.3487, time=0.0879708h
loop_count=2000/100000, max_score=76.2684, min_score=56.0772, time=0.0926751h
loop_count=2100/100000, max_score=76.2684, min_score=56.7415, time=0.0973078h
loop_count=2200/100000, max_score=76.2684, min_score=57.2596, time=0.102105h
loop_count=2300/100000, max_score=76.2684, min_score=57.6929, time=0.106689h
loop_count=2400/100000, max_score=76.2684, min_score=58.3888, time=0.11141h
loop_count=2500/100000, max_score=81.1204, min_score=58.8999, time=0.11593h
loop_count=2600/100000, max_score=81.1204, min_score=59.535, time=0.120175h
loop_count=2700/100000, max_score=81.1204, min_score=60.1796, time=0.125084h
loop_count=2800/100000, max_score=81.1204, min_score=60.6168, time=0.129764h
loop_count=2900/100000, max_score=81.1204, min_score=61.1511, time=0.134265h
loop_count=3000/100000, max_score=81.1204, min_score=61.4893, time=0.138984h
loop_count=3100/100000, max_score=81.1204, min_score=61.7865, time=0.143319h
loop_count=3200/100000, max_score=81.1204, min_score=62.3977, time=0.148217h
loop_count=3300/100000, max_score=81.1204, min_score=62.6037, time=0.1527h
loop_count=3400/100000, max_score=81.1204, min_score=62.894, time=0.157434h
loop_count=3500/100000, max_score=81.1204, min_score=63.283, time=0.162129h
loop_count=3600/100000, max_score=81.1204, min_score=63.5129, time=0.166426h
loop_count=3700/100000, max_score=81.1204, min_score=63.7128, time=0.170912h
loop_count=3800/100000, max_score=81.1204, min_score=64.0161, time=0.175428h
loop_count=3900/100000, max_score=81.1204, min_score=64.2151, time=0.179769h
loop_count=4000/100000, max_score=81.1204, min_score=64.5513, time=0.18437h
loop_count=4100/100000, max_score=81.1204, min_score=64.8378, time=0.18904h
loop_count=4200/100000, max_score=81.1204, min_score=65.048, time=0.193781h
loop_count=4300/100000, max_score=81.1204, min_score=65.1875, time=0.198113h
loop_count=4400/100000, max_score=81.1204, min_score=65.3742, time=0.202469h
loop_count=4500/100000, max_score=81.1204, min_score=65.6031, time=0.206812h
loop_count=4600/100000, max_score=81.1204, min_score=65.8635, time=0.21129h
loop_count=4700/100000, max_score=81.1204, min_score=66.1522, time=0.215772h
loop_count=4800/100000, max_score=81.1204, min_score=66.4404, time=0.220376h
loop_count=4900/100000, max_score=81.1204, min_score=66.7938, time=0.225093h
loop_count=5000/100000, max_score=81.1204, min_score=67.0513, time=0.229443h
loop_count=5100/100000, max_score=81.1204, min_score=67.2569, time=0.23372h
loop_count=5200/100000, max_score=81.1204, min_score=67.4595, time=0.238421h
loop_count=5300/100000, max_score=81.1204, min_score=67.6439, time=0.242865h
loop_count=5400/100000, max_score=81.1204, min_score=67.8257, time=0.247265h
loop_count=5500/100000, max_score=81.1204, min_score=67.9696, time=0.251718h
loop_count=5600/100000, max_score=81.1204, min_score=68.1869, time=0.256216h
loop_count=5700/100000, max_score=81.1204, min_score=68.4047, time=0.260756h
loop_count=5800/100000, max_score=81.1204, min_score=68.6328, time=0.265456h
loop_count=5900/100000, max_score=82.2713, min_score=68.8288, time=0.27008h
loop_count=6000/100000, max_score=82.2713, min_score=68.9454, time=0.27459h
loop_count=6100/100000, max_score=82.2713, min_score=69.1442, time=0.279393h
loop_count=6200/100000, max_score=82.2713, min_score=69.3127, time=0.283739h
loop_count=6300/100000, max_score=82.2713, min_score=69.5043, time=0.288299h
loop_count=6400/100000, max_score=82.2713, min_score=69.6003, time=0.292906h
loop_count=6500/100000, max_score=82.2713, min_score=69.7911, time=0.297552h
loop_count=6600/100000, max_score=82.2713, min_score=69.9574, time=0.302022h
loop_count=6700/100000, max_score=82.2713, min_score=70.0944, time=0.306669h
loop_count=6800/100000, max_score=82.2713, min_score=70.2666, time=0.311259h
loop_count=6900/100000, max_score=82.2713, min_score=70.3931, time=0.315593h
loop_count=7000/100000, max_score=82.2713, min_score=70.5151, time=0.320054h
loop_count=7100/100000, max_score=82.2713, min_score=70.6282, time=0.32413h
loop_count=7200/100000, max_score=82.2713, min_score=70.7941, time=0.328474h
loop_count=7300/100000, max_score=82.2713, min_score=70.9008, time=0.332855h
loop_count=7400/100000, max_score=82.2713, min_score=71.0011, time=0.337215h
loop_count=7500/100000, max_score=82.2713, min_score=71.1189, time=0.341733h
loop_count=7600/100000, max_score=82.2713, min_score=71.2623, time=0.34635h
loop_count=7700/100000, max_score=82.2713, min_score=71.4111, time=0.350978h
loop_count=7800/100000, max_score=82.2713, min_score=71.5098, time=0.355236h
loop_count=7900/100000, max_score=82.2713, min_score=71.6514, time=0.359876h
loop_count=8000/100000, max_score=82.2713, min_score=71.7653, time=0.364312h
loop_count=8100/100000, max_score=82.2713, min_score=71.9515, time=0.369188h
loop_count=8200/100000, max_score=82.2713, min_score=72.1162, time=0.374102h
loop_count=8300/100000, max_score=82.2713, min_score=72.1865, time=0.378547h
loop_count=8400/100000, max_score=82.2713, min_score=72.2804, time=0.382957h
loop_count=8500/100000, max_score=83.3923, min_score=72.4504, time=0.387447h
loop_count=8600/100000, max_score=83.3923, min_score=72.5451, time=0.391893h
loop_count=8700/100000, max_score=83.3923, min_score=72.6995, time=0.396308h
loop_count=8800/100000, max_score=83.3923, min_score=72.7633, time=0.40086h
loop_count=8900/100000, max_score=83.3923, min_score=72.8147, time=0.405431h
loop_count=9000/100000, max_score=83.3923, min_score=72.9699, time=0.410002h
loop_count=9100/100000, max_score=83.3923, min_score=73.0578, time=0.414469h
loop_count=9200/100000, max_score=83.3923, min_score=73.1804, time=0.418897h
loop_count=9300/100000, max_score=83.3923, min_score=73.2607, time=0.423495h
loop_count=9400/100000, max_score=83.3923, min_score=73.3743, time=0.427814h
loop_count=9500/100000, max_score=83.3923, min_score=73.4764, time=0.432451h
loop_count=9600/100000, max_score=83.3923, min_score=73.5922, time=0.436949h
loop_count=9700/100000, max_score=83.3923, min_score=73.6791, time=0.441561h
loop_count=9800/100000, max_score=83.3923, min_score=73.7927, time=0.446211h
loop_count=9900/100000, max_score=83.3923, min_score=73.9147, time=0.450888h
loop_count=10000/100000, max_score=83.3923, min_score=74.0738, time=0.455272h
loop_count=10100/100000, max_score=83.3923, min_score=74.1791, time=0.459759h
loop_count=10200/100000, max_score=83.3923, min_score=74.2855, time=0.464556h
loop_count=10300/100000, max_score=83.3923, min_score=74.3609, time=0.468916h
loop_count=10400/100000, max_score=83.3923, min_score=74.4488, time=0.473383h
loop_count=10500/100000, max_score=83.3923, min_score=74.5566, time=0.477813h
loop_count=10600/100000, max_score=83.3923, min_score=74.6476, time=0.482259h
loop_count=10700/100000, max_score=83.3923, min_score=74.7195, time=0.48681h
loop_count=10800/100000, max_score=83.3923, min_score=74.8373, time=0.491636h
loop_count=10900/100000, max_score=83.3923, min_score=74.9057, time=0.496176h
loop_count=11000/100000, max_score=83.3923, min_score=74.9916, time=0.500933h
loop_count=11100/100000, max_score=83.3923, min_score=75.0282, time=0.505351h
loop_count=11200/100000, max_score=83.3923, min_score=75.1242, time=0.510021h
loop_count=11300/100000, max_score=83.3923, min_score=75.1932, time=0.514518h
loop_count=11400/100000, max_score=83.3923, min_score=75.243, time=0.518739h
loop_count=11500/100000, max_score=84.0655, min_score=75.2992, time=0.523291h
loop_count=11600/100000, max_score=84.0655, min_score=75.364, time=0.527677h
loop_count=11700/100000, max_score=84.0655, min_score=75.4356, time=0.53192h
loop_count=11800/100000, max_score=84.0655, min_score=75.498, time=0.53637h
loop_count=11900/100000, max_score=84.0655, min_score=75.5628, time=0.540672h
loop_count=12000/100000, max_score=84.0655, min_score=75.6073, time=0.544857h
loop_count=12100/100000, max_score=84.0655, min_score=75.6628, time=0.549494h
loop_count=12200/100000, max_score=84.0655, min_score=75.7135, time=0.553809h
loop_count=12300/100000, max_score=84.0655, min_score=75.7856, time=0.558415h
