loop_count=930/100000, max_score=829.979, min_score=441.68, time=0.126965h
loop_count=940/100000, max_score=829.979, min_score=443.439, time=0.127825h
loop_count=950/100000, max_score=829.979, min_score=449.286, time=0.129676h
loop_count=960/100000, max_score=829.979, min_score=453.72, time=0.131428h
loop_count=970/100000, max_score=843.214, min_score=458.789, time=0.132911h
loop_count=980/100000, max_score=843.214, min_score=463.492, time=0.134286h
loop_count=990/100000, max_score=843.214, min_score=465.206, time=0.135633h
loop_count=1000/100000, max_score=843.214, min_score=466.837, time=0.136832h
loop_count=1010/100000, max_score=843.214, min_score=469.155, time=0.137998h
loop_count=1020/100000, max_score=843.214, min_score=475.069, time=0.139511h
loop_count=1030/100000, max_score=843.214, min_score=478.071, time=0.141158h
loop_count=1040/100000, max_score=843.214, min_score=480.091, time=0.142809h
loop_count=1050/100000, max_score=843.214, min_score=482.444, time=0.144025h
loop_count=1060/100000, max_score=843.214, min_score=484.41, time=0.145452h
loop_count=1070/100000, max_score=843.214, min_score=489.559, time=0.146913h
loop_count=1080/100000, max_score=843.214, min_score=492.21, time=0.148104h
loop_count=1090/100000, max_score=843.214, min_score=494.572, time=0.149392h
loop_count=1100/100000, max_score=843.214, min_score=497.788, time=0.151532h
loop_count=1110/100000, max_score=843.214, min_score=500.915, time=0.152985h
loop_count=1120/100000, max_score=843.214, min_score=504.856, time=0.153958h
loop_count=1130/100000, max_score=843.214, min_score=507.427, time=0.155776h
loop_count=1140/100000, max_score=843.214, min_score=509.519, time=0.157153h
loop_count=1150/100000, max_score=843.214, min_score=512.843, time=0.158793h
loop_count=1160/100000, max_score=843.214, min_score=515.233, time=0.160074h
loop_count=1170/100000, max_score=843.214, min_score=519.29, time=0.161489h
loop_count=1180/100000, max_score=843.214, min_score=520.965, time=0.163h
loop_count=1190/100000, max_score=843.214, min_score=522.418, time=0.164196h
loop_count=1200/100000, max_score=843.214, min_score=523.873, time=0.165509h
loop_count=1210/100000, max_score=843.214, min_score=527.917, time=0.166798h
loop_count=1220/100000, max_score=843.214, min_score=531.101, time=0.168424h
loop_count=1230/100000, max_score=843.214, min_score=533.658, time=0.169895h
loop_count=1240/100000, max_score=843.214, min_score=534.802, time=0.17129h
loop_count=1250/100000, max_score=843.214, min_score=537.844, time=0.172833h
loop_count=1260/100000, max_score=843.214, min_score=541.508, time=0.174547h
loop_count=1270/100000, max_score=843.214, min_score=543.383, time=0.17626h
loop_count=1280/100000, max_score=843.214, min_score=545.766, time=0.177735h
loop_count=1290/100000, max_score=843.214, min_score=547.369, time=0.179063h
loop_count=1300/100000, max_score=862.067, min_score=549.883, time=0.180451h
loop_count=1310/100000, max_score=862.067, min_score=551.902, time=0.18188h
loop_count=1320/100000, max_score=862.067, min_score=553.43, time=0.183478h
loop_count=1330/100000, max_score=862.067, min_score=554.39, time=0.184921h
loop_count=1340/100000, max_score=862.067, min_score=556.478, time=0.186287h
loop_count=1350/100000, max_score=862.067, min_score=557.187, time=0.18733h
loop_count=1360/100000, max_score=862.067, min_score=558.891, time=0.188784h
loop_count=1370/100000, max_score=862.067, min_score=560.654, time=0.190196h
loop_count=1380/100000, max_score=862.067, min_score=561.194, time=0.191384h
loop_count=1390/100000, max_score=862.067, min_score=562.001, time=0.192494h
loop_count=1400/100000, max_score=862.067, min_score=563.26, time=0.193659h
loop_count=1410/100000, max_score=862.067, min_score=565.372, time=0.195242h
loop_count=1420/100000, max_score=862.067, min_score=566.659, time=0.196683h
loop_count=1430/100000, max_score=862.067, min_score=568.669, time=0.198483h
loop_count=1440/100000, max_score=862.067, min_score=570.15, time=0.20014h
loop_count=1450/100000, max_score=862.067, min_score=571.112, time=0.201416h
loop_count=1460/100000, max_score=862.067, min_score=572.404, time=0.202811h
loop_count=1470/100000, max_score=862.067, min_score=576.056, time=0.204401h
loop_count=1480/100000, max_score=862.067, min_score=579.073, time=0.205606h
loop_count=1490/100000, max_score=862.067, min_score=579.869, time=0.206828h
loop_count=1500/100000, max_score=862.067, min_score=580.999, time=0.207662h
loop_count=1510/100000, max_score=862.067, min_score=582.054, time=0.209225h
loop_count=1520/100000, max_score=862.067, min_score=583.386, time=0.210116h
loop_count=1530/100000, max_score=862.067, min_score=584.953, time=0.211115h
loop_count=1540/100000, max_score=862.067, min_score=586.263, time=0.21239h
loop_count=1550/100000, max_score=862.067, min_score=588.786, time=0.214069h
loop_count=1560/100000, max_score=862.067, min_score=590.353, time=0.215365h
loop_count=1570/100000, max_score=862.067, min_score=592.593, time=0.217073h
loop_count=1580/100000, max_score=862.067, min_score=593.323, time=0.218517h
loop_count=1590/100000, max_score=862.067, min_score=594.581, time=0.21988h
loop_count=1600/100000, max_score=862.067, min_score=595.913, time=0.221054h
loop_count=1610/100000, max_score=862.067, min_score=597.928, time=0.222843h
loop_count=1620/100000, max_score=862.067, min_score=600.073, time=0.224125h
loop_count=1630/100000, max_score=862.067, min_score=600.386, time=0.225086h
loop_count=1640/100000, max_score=862.067, min_score=601.7, time=0.226652h
loop_count=1650/100000, max_score=862.067, min_score=602.48, time=0.228133h
loop_count=1660/100000, max_score=862.067, min_score=602.907, time=0.229123h
loop_count=1670/100000, max_score=862.067, min_score=604.034, time=0.230102h
loop_count=1680/100000, max_score=862.067, min_score=605.992, time=0.231644h
loop_count=1690/100000, max_score=862.067, min_score=609.105, time=0.233081h
loop_count=1700/100000, max_score=862.067, min_score=610.307, time=0.234407h
loop_count=1710/100000, max_score=871.006, min_score=612.302, time=0.236042h
loop_count=1720/100000, max_score=871.006, min_score=613.025, time=0.236774h
loop_count=1730/100000, max_score=871.006, min_score=616.023, time=0.23797h
loop_count=1740/100000, max_score=871.006, min_score=616.41, time=0.239558h
loop_count=1750/100000, max_score=871.006, min_score=618.36, time=0.240936h
loop_count=1760/100000, max_score=871.006, min_score=619.463, time=0.242089h
loop_count=1770/100000, max_score=871.006, min_score=621.953, time=0.243652h
loop_count=1780/100000, max_score=871.006, min_score=623.465, time=0.24485h
loop_count=1790/100000, max_score=871.006, min_score=623.791, time=0.245959h
loop_count=1800/100000, max_score=871.006, min_score=624.594, time=0.247138h
loop_count=1810/100000, max_score=871.006, min_score=625.271, time=0.248326h
loop_count=1820/100000, max_score=871.006, min_score=626.621, time=0.249886h
loop_count=1830/100000, max_score=871.006, min_score=627.863, time=0.251142h
loop_count=1840/100000, max_score=871.006, min_score=628.271, time=0.252028h
loop_count=1850/100000, max_score=871.006, min_score=628.889, time=0.25335h
loop_count=1860/100000, max_score=871.006, min_score=629.467, time=0.254585h
loop_count=1870/100000, max_score=871.006, min_score=630.649, time=0.255613h
loop_count=1880/100000, max_score=871.006, min_score=632.302, time=0.257241h
loop_count=1890/100000, max_score=871.006, min_score=632.759, time=0.258695h
loop_count=1900/100000, max_score=871.006, min_score=633.765, time=0.259671h
loop_count=1910/100000, max_score=871.006, min_score=633.906, time=0.260873h
loop_count=1920/100000, max_score=871.006, min_score=634.656, time=0.262h
loop_count=1930/100000, max_score=871.006, min_score=635.21, time=0.262782h
loop_count=1940/100000, max_score=871.006, min_score=635.936, time=0.263732h
loop_count=1950/100000, max_score=871.006, min_score=636.083, time=0.264785h
loop_count=1960/100000, max_score=871.006, min_score=637.229, time=0.26578h
loop_count=1970/100000, max_score=871.006, min_score=638.125, time=0.266836h
loop_count=1980/100000, max_score=871.006, min_score=638.593, time=0.267943h
loop_count=1990/100000, max_score=871.006, min_score=639.043, time=0.26872h
loop_count=2000/100000, max_score=871.006, min_score=639.981, time=0.270068h
loop_count=2010/100000, max_score=871.006, min_score=642.435, time=0.271601h
loop_count=2020/100000, max_score=871.006, min_score=643.621, time=0.272904h
loop_count=2030/100000, max_score=871.006, min_score=645.17, time=0.274068h
loop_count=2040/100000, max_score=871.006, min_score=646.551, time=0.275061h
loop_count=2050/100000, max_score=871.006, min_score=646.571, time=0.275966h
loop_count=2060/100000, max_score=871.006, min_score=647.769, time=0.277195h
loop_count=2070/100000, max_score=871.006, min_score=648.945, time=0.278726h
loop_count=2080/100000, max_score=871.006, min_score=649.715, time=0.280434h
loop_count=2090/100000, max_score=871.006, min_score=650.412, time=0.281762h
loop_count=2100/100000, max_score=871.006, min_score=651.742, time=0.282953h
loop_count=2110/100000, max_score=871.006, min_score=652.278, time=0.283685h
loop_count=2120/100000, max_score=871.006, min_score=653.24, time=0.284954h
loop_count=2130/100000, max_score=871.006, min_score=653.429, time=0.285693h
loop_count=2140/100000, max_score=871.006, min_score=653.674, time=0.286478h
loop_count=2150/100000, max_score=871.006, min_score=654.547, time=0.287664h
loop_count=2160/100000, max_score=871.006, min_score=654.759, time=0.28887h
loop_count=2170/100000, max_score=871.006, min_score=656.718, time=0.290378h
loop_count=2180/100000, max_score=871.006, min_score=656.901, time=0.291564h
loop_count=2190/100000, max_score=871.006, min_score=657.863, time=0.292816h
loop_count=2200/100000, max_score=871.006, min_score=659.048, time=0.293905h
loop_count=2210/100000, max_score=871.006, min_score=660.801, time=0.29499h
loop_count=2220/100000, max_score=871.006, min_score=660.818, time=0.295554h
loop_count=2230/100000, max_score=871.006, min_score=661.671, time=0.296814h
loop_count=2240/100000, max_score=871.006, min_score=661.691, time=0.297636h
loop_count=2250/100000, max_score=871.006, min_score=663.535, time=0.299019h
loop_count=2260/100000, max_score=871.006, min_score=664.786, time=0.300388h
loop_count=2270/100000, max_score=871.006, min_score=666.155, time=0.302044h
loop_count=2280/100000, max_score=871.006, min_score=666.685, time=0.303521h
loop_count=2290/100000, max_score=871.006, min_score=667.3, time=0.305065h
loop_count=2300/100000, max_score=871.006, min_score=668.779, time=0.30661h
loop_count=2310/100000, max_score=871.006, min_score=669.795, time=0.307498h
loop_count=2320/100000, max_score=871.006, min_score=670.287, time=0.308586h
loop_count=2330/100000, max_score=871.006, min_score=671.118, time=0.309341h
loop_count=2340/100000, max_score=871.006, min_score=671.388, time=0.309952h
loop_count=2350/100000, max_score=871.006, min_score=671.414, time=0.310271h
loop_count=2360/100000, max_score=871.006, min_score=671.903, time=0.311381h
loop_count=2370/100000, max_score=871.006, min_score=672.358, time=0.31171h
loop_count=2380/100000, max_score=871.006, min_score=672.862, time=0.313288h
loop_count=2390/100000, max_score=871.006, min_score=673.717, time=0.314061h
loop_count=2400/100000, max_score=871.006, min_score=674.268, time=0.314687h
loop_count=2410/100000, max_score=871.006, min_score=674.438, time=0.315791h
loop_count=2420/100000, max_score=871.006, min_score=675.731, time=0.317168h
loop_count=2430/100000, max_score=871.006, min_score=677.375, time=0.318314h
loop_count=2440/100000, max_score=871.006, min_score=678.301, time=0.319583h
loop_count=2450/100000, max_score=871.006, min_score=678.982, time=0.320475h
loop_count=2460/100000, max_score=871.006, min_score=680.494, time=0.32178h
loop_count=2470/100000, max_score=871.006, min_score=681.109, time=0.322437h
loop_count=2480/100000, max_score=871.006, min_score=681.717, time=0.323549h
loop_count=2490/100000, max_score=871.006, min_score=681.78, time=0.324094h
loop_count=2500/100000, max_score=871.006, min_score=682.013, time=0.324997h
loop_count=2510/100000, max_score=871.006, min_score=682.327, time=0.326008h
loop_count=2520/100000, max_score=871.006, min_score=683.369, time=0.326712h
loop_count=2530/100000, max_score=871.006, min_score=683.678, time=0.327604h
loop_count=2540/100000, max_score=871.006, min_score=684.665, time=0.328508h
loop_count=2550/100000, max_score=871.006, min_score=685.548, time=0.329613h
loop_count=2560/100000, max_score=871.006, min_score=685.996, time=0.330954h
loop_count=2570/100000, max_score=871.006, min_score=687.294, time=0.332365h
loop_count=2580/100000, max_score=871.006, min_score=688.561, time=0.333706h
loop_count=2590/100000, max_score=871.006, min_score=688.729, time=0.334318h
loop_count=2600/100000, max_score=871.006, min_score=688.774, time=0.335112h
loop_count=2610/100000, max_score=871.006, min_score=689.559, time=0.336078h
loop_count=2620/100000, max_score=871.006, min_score=691.138, time=0.337204h
loop_count=2630/100000, max_score=871.006, min_score=691.277, time=0.338294h
loop_count=2640/100000, max_score=871.006, min_score=692.159, time=0.339285h
loop_count=2650/100000, max_score=871.006, min_score=692.489, time=0.340245h
loop_count=2660/100000, max_score=871.006, min_score=693.045, time=0.341028h
loop_count=2670/100000, max_score=871.006, min_score=693.79, time=0.342237h
loop_count=2680/100000, max_score=871.006, min_score=694.275, time=0.34319h
loop_count=2690/100000, max_score=871.006, min_score=694.811, time=0.344351h
