loop_count=100/100000, max_score=62.0254, min_score=28.8183, running_time=0.00611383h, search_time=0.00454549h
loop_count=200/100000, max_score=75.679, min_score=27.4786, running_time=0.0122798h, search_time=0.00850476h
loop_count=300/100000, max_score=75.679, min_score=27.4786, running_time=0.0183522h, search_time=0.0123253h
loop_count=400/100000, max_score=76.9169, min_score=27.4786, running_time=0.0241724h, search_time=0.0162151h
loop_count=500/100000, max_score=76.9169, min_score=27.4786, running_time=0.0306391h, search_time=0.0201397h
loop_count=600/100000, max_score=76.9169, min_score=35.3063, running_time=0.0365932h, search_time=0.0238362h
loop_count=700/100000, max_score=76.9169, min_score=38.6818, running_time=0.0428849h, search_time=0.0277119h
loop_count=800/100000, max_score=76.9169, min_score=41.3079, running_time=0.049227h, search_time=0.0316535h
loop_count=900/100000, max_score=77.1427, min_score=43.9026, running_time=0.0559558h, search_time=0.0357471h
loop_count=1000/100000, max_score=77.1427, min_score=45.9458, running_time=0.0637205h, search_time=0.0400802h
loop_count=1100/100000, max_score=77.1427, min_score=48.7829, running_time=0.0709701h, search_time=0.0439978h
loop_count=1200/100000, max_score=78.1312, min_score=51.1427, running_time=0.078755h, search_time=0.0479826h
loop_count=1300/100000, max_score=78.1312, min_score=53.4076, running_time=0.0866828h, search_time=0.0522011h
loop_count=1400/100000, max_score=78.4964, min_score=54.6879, running_time=0.0945271h, search_time=0.0563893h
loop_count=1500/100000, max_score=78.4964, min_score=56.1764, running_time=0.102399h, search_time=0.0605331h
loop_count=1600/100000, max_score=78.4964, min_score=57.5673, running_time=0.110332h, search_time=0.0645733h
loop_count=1700/100000, max_score=78.4964, min_score=58.6233, running_time=0.118387h, search_time=0.068744h
loop_count=1800/100000, max_score=81.5163, min_score=59.7357, running_time=0.126589h, search_time=0.0732123h
loop_count=1900/100000, max_score=81.5163, min_score=60.8137, running_time=0.135676h, search_time=0.0775074h
loop_count=2000/100000, max_score=81.5163, min_score=61.6315, running_time=0.145021h, search_time=0.0817262h
loop_count=2100/100000, max_score=81.5163, min_score=62.4121, running_time=0.1541h, search_time=0.0859409h
loop_count=2200/100000, max_score=81.5163, min_score=63.4236, running_time=0.162957h, search_time=0.0903272h
loop_count=2300/100000, max_score=81.5163, min_score=64.1325, running_time=0.17234h, search_time=0.0947222h
loop_count=2400/100000, max_score=81.5163, min_score=64.9793, running_time=0.181652h, search_time=0.099083h
loop_count=2500/100000, max_score=81.5163, min_score=65.6899, running_time=0.190994h, search_time=0.103475h
loop_count=2600/100000, max_score=84.0825, min_score=66.2943, running_time=0.200547h, search_time=0.107928h
loop_count=2700/100000, max_score=84.0825, min_score=66.7294, running_time=0.210537h, search_time=0.11228h
loop_count=2800/100000, max_score=84.0825, min_score=67.2739, running_time=0.22024h, search_time=0.116811h
loop_count=2900/100000, max_score=84.0825, min_score=67.936, running_time=0.22993h, search_time=0.121154h
loop_count=3000/100000, max_score=84.0825, min_score=68.3584, running_time=0.241123h, search_time=0.125547h
loop_count=3100/100000, max_score=84.0825, min_score=68.9817, running_time=0.251664h, search_time=0.129974h
loop_count=3200/100000, max_score=84.0825, min_score=69.5073, running_time=0.26302h, search_time=0.134524h
loop_count=3300/100000, max_score=84.0825, min_score=70.0264, running_time=0.273879h, search_time=0.138974h
loop_count=3400/100000, max_score=84.0825, min_score=70.6218, running_time=0.284219h, search_time=0.143637h
loop_count=3500/100000, max_score=84.0825, min_score=71.0987, running_time=0.294406h, search_time=0.148172h
loop_count=3600/100000, max_score=84.0825, min_score=71.5828, running_time=0.305337h, search_time=0.152685h
loop_count=3700/100000, max_score=84.0825, min_score=71.9025, running_time=0.316545h, search_time=0.157106h
loop_count=3800/100000, max_score=84.0825, min_score=72.2517, running_time=0.327144h, search_time=0.161369h
loop_count=3900/100000, max_score=84.0825, min_score=72.7423, running_time=0.337237h, search_time=0.165714h
loop_count=4000/100000, max_score=84.0825, min_score=73.1805, running_time=0.347927h, search_time=0.170238h
loop_count=4100/100000, max_score=84.0825, min_score=73.5854, running_time=0.359523h, search_time=0.174626h
loop_count=4200/100000, max_score=84.0825, min_score=73.9851, running_time=0.371022h, search_time=0.179038h
loop_count=4300/100000, max_score=84.0825, min_score=74.2348, running_time=0.382408h, search_time=0.183428h
loop_count=4400/100000, max_score=84.0825, min_score=74.4396, running_time=0.393863h, search_time=0.187939h
loop_count=4500/100000, max_score=84.0825, min_score=74.6234, running_time=0.404994h, search_time=0.192317h
loop_count=4600/100000, max_score=84.0825, min_score=74.8253, running_time=0.41667h, search_time=0.196751h
loop_count=4700/100000, max_score=84.4886, min_score=75.0739, running_time=0.427272h, search_time=0.201143h
loop_count=4800/100000, max_score=84.4886, min_score=75.2499, running_time=0.438087h, search_time=0.205605h
loop_count=4900/100000, max_score=84.4886, min_score=75.4956, running_time=0.450657h, search_time=0.210082h
loop_count=5000/100000, max_score=85.4634, min_score=75.7406, running_time=0.460625h, search_time=0.214387h
loop_count=5100/100000, max_score=85.4634, min_score=75.9179, running_time=0.47184h, search_time=0.219008h
loop_count=5200/100000, max_score=85.4634, min_score=76.1971, running_time=0.483949h, search_time=0.223542h
loop_count=5300/100000, max_score=85.4634, min_score=76.5048, running_time=0.496148h, search_time=0.228157h
loop_count=5400/100000, max_score=85.4634, min_score=76.7982, running_time=0.507534h, search_time=0.232634h
loop_count=5500/100000, max_score=85.4634, min_score=77.0496, running_time=0.518267h, search_time=0.237218h
loop_count=5600/100000, max_score=85.4634, min_score=77.2243, running_time=0.530504h, search_time=0.241698h
loop_count=5700/100000, max_score=85.4634, min_score=77.4163, running_time=0.541285h, search_time=0.24619h
loop_count=5800/100000, max_score=85.4634, min_score=77.5274, running_time=0.553415h, search_time=0.250974h
loop_count=5900/100000, max_score=85.4634, min_score=77.6851, running_time=0.565113h, search_time=0.255437h
loop_count=6000/100000, max_score=85.4634, min_score=77.8518, running_time=0.578153h, search_time=0.260086h
