loop_count=100/100000, max_score=66.2953, min_score=28.7045, running_time=0.00580805h, search_time=0.00440198h
loop_count=200/100000, max_score=71.0095, min_score=27.8045, running_time=0.0114058h, search_time=0.00818644h
loop_count=300/100000, max_score=71.0095, min_score=27.7874, running_time=0.0169236h, search_time=0.0118668h
loop_count=400/100000, max_score=71.0095, min_score=27.7874, running_time=0.0228164h, search_time=0.0156258h
loop_count=500/100000, max_score=71.0095, min_score=27.7874, running_time=0.0282696h, search_time=0.0192795h
loop_count=600/100000, max_score=71.1315, min_score=35.2151, running_time=0.0342033h, search_time=0.022948h
loop_count=700/100000, max_score=71.1315, min_score=38.4068, running_time=0.0400671h, search_time=0.0267001h
loop_count=800/100000, max_score=71.1315, min_score=41.3617, running_time=0.0462403h, search_time=0.0304924h
loop_count=900/100000, max_score=71.1315, min_score=43.8141, running_time=0.0529632h, search_time=0.0345055h
loop_count=1000/100000, max_score=73.5581, min_score=45.5544, running_time=0.0595544h, search_time=0.0384711h
loop_count=1100/100000, max_score=73.5581, min_score=47.4416, running_time=0.0663166h, search_time=0.0423279h
loop_count=1200/100000, max_score=73.9911, min_score=49.3162, running_time=0.073756h, search_time=0.046312h
loop_count=1300/100000, max_score=73.9911, min_score=50.8181, running_time=0.0809478h, search_time=0.0504981h
loop_count=1400/100000, max_score=78.9513, min_score=52.3463, running_time=0.0884344h, search_time=0.0545577h
loop_count=1500/100000, max_score=78.9513, min_score=53.6534, running_time=0.0958963h, search_time=0.0586689h
loop_count=1600/100000, max_score=78.9513, min_score=55.2249, running_time=0.103914h, search_time=0.0627379h
loop_count=1700/100000, max_score=78.9513, min_score=56.5459, running_time=0.111782h, search_time=0.0668414h
loop_count=1800/100000, max_score=78.9513, min_score=57.4535, running_time=0.119898h, search_time=0.0710631h
loop_count=1900/100000, max_score=78.9513, min_score=58.6407, running_time=0.12832h, search_time=0.0752701h
loop_count=2000/100000, max_score=78.9513, min_score=59.8098, running_time=0.136121h, search_time=0.0793713h
loop_count=2100/100000, max_score=78.9513, min_score=60.9023, running_time=0.145006h, search_time=0.0836247h
