The seed number is set to 789
loop_count=100/100000, max_score=723.796, min_score=291.516, time=0.0115744h
loop_count=200/100000, max_score=779.206, min_score=284.198, time=0.0231658h
loop_count=300/100000, max_score=779.206, min_score=284.198, time=0.0347399h
loop_count=400/100000, max_score=783.446, min_score=284.198, time=0.0462238h
loop_count=500/100000, max_score=783.446, min_score=284.198, time=0.0572495h
loop_count=600/100000, max_score=783.446, min_score=298.012, time=0.0678983h
loop_count=700/100000, max_score=803.158, min_score=373.393, time=0.0779675h
loop_count=800/100000, max_score=803.158, min_score=429.399, time=0.0881507h
loop_count=900/100000, max_score=803.158, min_score=462.426, time=0.0985348h
loop_count=1000/100000, max_score=816.24, min_score=495.166, time=0.108717h
loop_count=1100/100000, max_score=816.24, min_score=514.793, time=0.119707h
loop_count=1200/100000, max_score=840.674, min_score=535.302, time=0.130279h
loop_count=1300/100000, max_score=840.674, min_score=556.94, time=0.141169h
loop_count=1400/100000, max_score=840.674, min_score=574.91, time=0.150745h
loop_count=1500/100000, max_score=866.061, min_score=587.601, time=0.160936h
loop_count=1600/100000, max_score=866.061, min_score=601.917, time=0.170931h
loop_count=1700/100000, max_score=866.061, min_score=612.913, time=0.178973h
loop_count=1800/100000, max_score=866.061, min_score=626.026, time=0.18783h
loop_count=1900/100000, max_score=866.061, min_score=640.594, time=0.196863h
loop_count=2000/100000, max_score=866.061, min_score=650.875, time=0.205817h
loop_count=2100/100000, max_score=866.061, min_score=660.694, time=0.214977h
loop_count=2200/100000, max_score=866.061, min_score=666.748, time=0.222699h
loop_count=2300/100000, max_score=866.061, min_score=675.67, time=0.232115h
loop_count=2400/100000, max_score=866.061, min_score=687.388, time=0.241985h
loop_count=2500/100000, max_score=866.061, min_score=693.439, time=0.2511h
loop_count=2600/100000, max_score=867.026, min_score=698.816, time=0.259616h
loop_count=2700/100000, max_score=867.026, min_score=705.536, time=0.26875h
loop_count=2800/100000, max_score=867.026, min_score=711.38, time=0.278336h
loop_count=2900/100000, max_score=884.293, min_score=715.644, time=0.286812h
loop_count=3000/100000, max_score=884.293, min_score=718.726, time=0.295797h
loop_count=3100/100000, max_score=884.293, min_score=722.716, time=0.303594h
loop_count=3200/100000, max_score=884.293, min_score=727.32, time=0.312373h
loop_count=3300/100000, max_score=884.293, min_score=729.578, time=0.320763h
loop_count=3400/100000, max_score=884.293, min_score=731.94, time=0.329775h
loop_count=3500/100000, max_score=884.293, min_score=734.402, time=0.337454h
loop_count=3600/100000, max_score=884.293, min_score=739.226, time=0.347807h
loop_count=3700/100000, max_score=884.293, min_score=742.587, time=0.356669h
loop_count=3800/100000, max_score=884.293, min_score=744.887, time=0.366751h
loop_count=3900/100000, max_score=884.293, min_score=748.747, time=0.37626h
loop_count=4000/100000, max_score=884.293, min_score=751.115, time=0.386755h
loop_count=4100/100000, max_score=884.293, min_score=752.669, time=0.395814h
loop_count=4200/100000, max_score=884.293, min_score=755.444, time=0.404824h
loop_count=4300/100000, max_score=884.293, min_score=757.727, time=0.414524h
loop_count=4400/100000, max_score=884.293, min_score=760.424, time=0.423976h
loop_count=4500/100000, max_score=884.293, min_score=762.748, time=0.433415h
loop_count=4600/100000, max_score=884.293, min_score=764.693, time=0.442479h
loop_count=4700/100000, max_score=884.293, min_score=766.567, time=0.453481h
loop_count=4800/100000, max_score=884.293, min_score=768.089, time=0.463493h
loop_count=4900/100000, max_score=884.293, min_score=769.688, time=0.47305h
loop_count=5000/100000, max_score=884.293, min_score=770.737, time=0.483768h
loop_count=5100/100000, max_score=884.293, min_score=773.211, time=0.494558h
loop_count=5200/100000, max_score=884.293, min_score=775.097, time=0.502736h
loop_count=5300/100000, max_score=884.293, min_score=776.387, time=0.510271h
loop_count=5400/100000, max_score=884.293, min_score=778.264, time=0.518535h
loop_count=5500/100000, max_score=884.293, min_score=779.68, time=0.526893h
loop_count=5600/100000, max_score=884.293, min_score=781.192, time=0.534545h
loop_count=5700/100000, max_score=884.293, min_score=782.158, time=0.540896h
loop_count=5800/100000, max_score=884.293, min_score=783.016, time=0.547655h
loop_count=5900/100000, max_score=884.293, min_score=784.56, time=0.555595h
loop_count=6000/100000, max_score=884.293, min_score=785.773, time=0.563236h
loop_count=6100/100000, max_score=884.293, min_score=787.295, time=0.570248h
loop_count=6200/100000, max_score=884.293, min_score=788.974, time=0.577871h
loop_count=6300/100000, max_score=884.293, min_score=790.76, time=0.586194h
loop_count=6400/100000, max_score=884.293, min_score=792.302, time=0.593569h
loop_count=6500/100000, max_score=884.293, min_score=793.68, time=0.60135h
loop_count=6600/100000, max_score=884.293, min_score=794.612, time=0.609072h
loop_count=6700/100000, max_score=884.293, min_score=795.722, time=0.617717h
loop_count=6800/100000, max_score=884.293, min_score=796.997, time=0.625747h
loop_count=6900/100000, max_score=884.293, min_score=797.896, time=0.632336h
loop_count=7000/100000, max_score=884.293, min_score=798.966, time=0.639586h
loop_count=7100/100000, max_score=884.293, min_score=800.126, time=0.647301h
loop_count=7200/100000, max_score=898.422, min_score=801.183, time=0.654176h
loop_count=7300/100000, max_score=898.422, min_score=802.322, time=0.661178h
loop_count=7400/100000, max_score=898.422, min_score=803.405, time=0.669969h
loop_count=7500/100000, max_score=898.422, min_score=804.506, time=0.677439h
loop_count=7600/100000, max_score=898.422, min_score=805.54, time=0.68589h
loop_count=7700/100000, max_score=898.422, min_score=806.435, time=0.693079h
loop_count=7800/100000, max_score=898.422, min_score=807.296, time=0.700564h
loop_count=7900/100000, max_score=898.422, min_score=807.676, time=0.708754h
loop_count=8000/100000, max_score=898.422, min_score=809.107, time=0.716814h
loop_count=8100/100000, max_score=898.422, min_score=809.793, time=0.724425h
loop_count=8200/100000, max_score=898.422, min_score=810.546, time=0.732841h
loop_count=8300/100000, max_score=898.422, min_score=811.022, time=0.741019h
loop_count=8400/100000, max_score=898.422, min_score=812.179, time=0.750805h
loop_count=8500/100000, max_score=898.422, min_score=813.268, time=0.758539h
loop_count=8600/100000, max_score=898.422, min_score=813.678, time=0.766319h
loop_count=8700/100000, max_score=898.422, min_score=814.374, time=0.77374h
loop_count=8800/100000, max_score=898.422, min_score=815.403, time=0.781029h
loop_count=8900/100000, max_score=898.422, min_score=816.142, time=0.788671h
loop_count=9000/100000, max_score=898.422, min_score=817.175, time=0.795496h
loop_count=9100/100000, max_score=898.422, min_score=818.239, time=0.802719h
loop_count=9200/100000, max_score=898.422, min_score=819.391, time=0.813635h
loop_count=9300/100000, max_score=898.422, min_score=820.283, time=0.821671h
loop_count=9400/100000, max_score=898.422, min_score=821.12, time=0.83143h
loop_count=9500/100000, max_score=898.422, min_score=821.966, time=0.840634h
loop_count=9600/100000, max_score=898.422, min_score= 823, time=0.850983h
loop_count=9700/100000, max_score=898.422, min_score=824.039, time=0.861304h
loop_count=9800/100000, max_score=898.422, min_score=824.859, time=0.871059h
loop_count=9900/100000, max_score=898.422, min_score=825.954, time=0.880709h
loop_count=10000/100000, max_score=898.422, min_score=826.816, time=0.890472h
loop_count=10100/100000, max_score=913.119, min_score=827.859, time=0.900136h
loop_count=10200/100000, max_score=913.119, min_score=828.643, time=0.909549h
loop_count=10300/100000, max_score=913.119, min_score=828.922, time=0.918762h
loop_count=10400/100000, max_score=913.119, min_score=829.289, time=0.927241h
loop_count=10500/100000, max_score=913.119, min_score=830.356, time=0.938096h
loop_count=10600/100000, max_score=913.119, min_score=831.158, time=0.947146h
loop_count=10700/100000, max_score=913.119, min_score=831.727, time=0.956516h
loop_count=10800/100000, max_score=913.119, min_score=832.202, time=0.967533h
loop_count=10900/100000, max_score=913.119, min_score=832.978, time=0.976785h
loop_count=11000/100000, max_score=913.119, min_score=833.371, time=0.985986h
loop_count=11100/100000, max_score=913.119, min_score=833.832, time=0.995609h
loop_count=11200/100000, max_score=913.119, min_score=834.815, time=1.00518h
loop_count=11300/100000, max_score=913.119, min_score=835.361, time=1.01569h
loop_count=11400/100000, max_score=913.119, min_score=835.97, time=1.02504h
loop_count=11500/100000, max_score=913.119, min_score=837.159, time=1.03443h
loop_count=11600/100000, max_score=913.119, min_score=838.112, time=1.0438h
loop_count=11700/100000, max_score=913.119, min_score=838.596, time=1.05341h
loop_count=11800/100000, max_score=913.119, min_score=839.003, time=1.06208h
loop_count=11900/100000, max_score=913.119, min_score=839.365, time=1.07109h
loop_count=12000/100000, max_score=913.119, min_score=839.674, time=1.08045h
loop_count=12100/100000, max_score=913.119, min_score=840.052, time=1.09001h
loop_count=12200/100000, max_score=913.119, min_score=840.655, time=1.09961h
loop_count=12300/100000, max_score=913.119, min_score=840.917, time=1.10876h
loop_count=12400/100000, max_score=913.119, min_score=841.373, time=1.12025h
loop_count=12500/100000, max_score=913.119, min_score=841.771, time=1.12998h
loop_count=12600/100000, max_score=913.119, min_score=842.261, time=1.13979h
loop_count=12700/100000, max_score=913.119, min_score=842.743, time=1.14858h
loop_count=12800/100000, max_score=913.119, min_score=843.221, time=1.15918h
loop_count=12900/100000, max_score=913.119, min_score=843.465, time=1.16876h
loop_count=13000/100000, max_score=913.119, min_score=844.034, time=1.17977h
loop_count=13100/100000, max_score=913.119, min_score=844.313, time=1.1878h
loop_count=13200/100000, max_score=913.119, min_score=844.753, time=1.19765h
loop_count=13300/100000, max_score=913.119, min_score=845.205, time=1.20707h
loop_count=13400/100000, max_score=913.119, min_score=845.546, time=1.21669h
loop_count=13500/100000, max_score=913.119, min_score=845.91, time=1.22609h
loop_count=13600/100000, max_score=913.119, min_score=846.282, time=1.23593h
loop_count=13700/100000, max_score=913.119, min_score=846.578, time=1.24547h
loop_count=13800/100000, max_score=913.119, min_score=847.112, time=1.25584h
loop_count=13900/100000, max_score=913.119, min_score=847.532, time=1.26467h
loop_count=14000/100000, max_score=913.119, min_score=847.788, time=1.27466h
loop_count=14100/100000, max_score=913.119, min_score=848.222, time=1.28365h
loop_count=14200/100000, max_score=913.119, min_score=848.537, time=1.29223h
loop_count=14300/100000, max_score=913.119, min_score=849.042, time=1.30165h
loop_count=14400/100000, max_score=913.119, min_score=849.221, time=1.31026h
loop_count=14500/100000, max_score=913.119, min_score=849.525, time=1.31938h
loop_count=14600/100000, max_score=913.119, min_score=849.798, time=1.3294h
loop_count=14700/100000, max_score=913.119, min_score=850.45, time=1.34105h
loop_count=14800/100000, max_score=913.119, min_score=850.953, time=1.35167h
loop_count=14900/100000, max_score=913.119, min_score=851.294, time=1.36027h
loop_count=15000/100000, max_score=913.119, min_score=851.581, time=1.37032h
loop_count=15100/100000, max_score=913.119, min_score=852.193, time=1.37967h
loop_count=15200/100000, max_score=913.119, min_score=852.847, time=1.38929h
loop_count=15300/100000, max_score=913.119, min_score=853.384, time=1.39946h
loop_count=15400/100000, max_score=913.119, min_score=853.541, time=1.40769h
loop_count=15500/100000, max_score=913.119, min_score=854.112, time=1.41708h
loop_count=15600/100000, max_score=913.119, min_score=854.577, time=1.42814h
loop_count=15700/100000, max_score=913.119, min_score=855.034, time=1.43655h
loop_count=15800/100000, max_score=913.119, min_score=855.317, time=1.44616h
loop_count=15900/100000, max_score=913.119, min_score=855.855, time=1.45562h
loop_count=16000/100000, max_score=913.119, min_score=856.11, time=1.46369h
loop_count=16100/100000, max_score=913.119, min_score=856.616, time=1.47444h
loop_count=16200/100000, max_score=913.119, min_score=856.958, time=1.4841h
loop_count=16300/100000, max_score=913.119, min_score=857.185, time=1.49176h
loop_count=16400/100000, max_score=913.119, min_score=857.488, time=1.50221h
loop_count=16500/100000, max_score=913.119, min_score=857.945, time=1.51092h
loop_count=16600/100000, max_score=913.119, min_score=858.172, time=1.5188h
loop_count=16700/100000, max_score=913.119, min_score=858.357, time=1.52834h
loop_count=16800/100000, max_score=913.119, min_score=858.773, time=1.53673h
loop_count=16900/100000, max_score=913.119, min_score=859.17, time=1.54498h
loop_count=17000/100000, max_score=913.119, min_score=859.423, time=1.55453h
loop_count=17100/100000, max_score=913.119, min_score=859.655, time=1.56355h
loop_count=17200/100000, max_score=913.119, min_score=859.854, time=1.57283h
loop_count=17300/100000, max_score=913.119, min_score=860.165, time=1.58097h
loop_count=17400/100000, max_score=913.119, min_score=860.738, time=1.58908h
loop_count=17500/100000, max_score=913.119, min_score=861.115, time=1.59741h
loop_count=17600/100000, max_score=913.119, min_score=861.735, time=1.60569h
loop_count=17700/100000, max_score=913.119, min_score=861.858, time=1.6125h
loop_count=17800/100000, max_score=913.119, min_score=862.209, time=1.62037h
loop_count=17900/100000, max_score=913.119, min_score=862.465, time=1.62783h
loop_count=18000/100000, max_score=913.119, min_score=862.734, time=1.63437h
loop_count=18100/100000, max_score=913.119, min_score=863.154, time=1.64309h
loop_count=18200/100000, max_score=913.119, min_score=863.398, time=1.65004h
loop_count=18300/100000, max_score=913.119, min_score=863.571, time=1.65627h
loop_count=18400/100000, max_score=913.119, min_score=863.752, time=1.66325h
loop_count=18500/100000, max_score=913.119, min_score=864.064, time=1.67105h
loop_count=18600/100000, max_score=913.119, min_score=864.382, time=1.67773h
loop_count=18700/100000, max_score=913.119, min_score=864.644, time=1.68465h
loop_count=18800/100000, max_score=913.119, min_score=864.917, time=1.69124h
loop_count=18900/100000, max_score=913.119, min_score=865.095, time=1.69814h
loop_count=19000/100000, max_score=913.119, min_score=865.276, time=1.70561h
loop_count=19100/100000, max_score=918.743, min_score=865.466, time=1.71253h
loop_count=19200/100000, max_score=918.743, min_score=865.736, time=1.72019h
loop_count=19300/100000, max_score=918.743, min_score=866.006, time=1.72855h
loop_count=19400/100000, max_score=918.743, min_score=866.244, time=1.73646h
loop_count=19500/100000, max_score=918.743, min_score=866.593, time=1.74417h
loop_count=19600/100000, max_score=918.743, min_score=866.843, time=1.75041h
loop_count=19700/100000, max_score=918.743, min_score=866.904, time=1.75788h
loop_count=19800/100000, max_score=918.743, min_score=867.058, time=1.76512h
loop_count=19900/100000, max_score=918.743, min_score=867.385, time=1.77243h
loop_count=20000/100000, max_score=918.743, min_score=867.567, time=1.77922h
loop_count=20100/100000, max_score=918.743, min_score=867.782, time=1.78709h
loop_count=20200/100000, max_score=918.743, min_score=868.015, time=1.7937h
loop_count=20300/100000, max_score=918.743, min_score=868.18, time=1.80002h
loop_count=20400/100000, max_score=918.743, min_score=868.369, time=1.80859h
loop_count=20500/100000, max_score=921.234, min_score=868.622, time=1.8158h
loop_count=20600/100000, max_score=921.234, min_score=868.839, time=1.82343h
loop_count=20700/100000, max_score=921.234, min_score=869.076, time=1.83058h
loop_count=20800/100000, max_score=921.234, min_score=869.352, time=1.83792h
loop_count=20900/100000, max_score=921.234, min_score=869.698, time=1.84498h
loop_count=21000/100000, max_score=921.234, min_score=869.945, time=1.85274h
loop_count=21100/100000, max_score=921.234, min_score=870.178, time=1.85961h
loop_count=21200/100000, max_score=921.234, min_score=870.387, time=1.86595h
loop_count=21300/100000, max_score=921.234, min_score=870.558, time=1.87253h
loop_count=21400/100000, max_score=921.234, min_score=870.85, time=1.88001h
loop_count=21500/100000, max_score=921.234, min_score=871.116, time=1.88544h
loop_count=21600/100000, max_score=921.234, min_score=871.362, time=1.89332h
loop_count=21700/100000, max_score=921.234, min_score=871.695, time=1.90143h
loop_count=21800/100000, max_score=921.234, min_score=871.741, time=1.90693h
loop_count=21900/100000, max_score=921.234, min_score=871.918, time=1.91289h
loop_count=22000/100000, max_score=921.234, min_score=872.219, time=1.92029h
loop_count=22100/100000, max_score=921.234, min_score=872.508, time=1.92725h
loop_count=22200/100000, max_score=921.234, min_score=872.679, time=1.93391h
