loop_count=6500/100000, max_score=87.9342, min_score=78.0808, running_time=0.632147h, search_time=0.279987h
loop_count=6600/100000, max_score=87.9342, min_score=78.2353, running_time=0.645093h, search_time=0.284712h
loop_count=6700/100000, max_score=87.9342, min_score=78.4602, running_time=0.659176h, search_time=0.2894h
loop_count=6800/100000, max_score=87.9342, min_score=78.674, running_time=0.672626h, search_time=0.294072h
loop_count=6900/100000, max_score=87.9342, min_score=78.8877, running_time=0.685806h, search_time=0.298906h
loop_count=7000/100000, max_score=88.1703, min_score=79.1415, running_time=0.698444h, search_time=0.303777h
loop_count=7100/100000, max_score=88.1703, min_score=79.4319, running_time=0.711088h, search_time=0.308656h
loop_count=7200/100000, max_score=88.1703, min_score=79.644, running_time=0.724826h, search_time=0.31359h
loop_count=7300/100000, max_score=88.1703, min_score=79.8764, running_time=0.738566h, search_time=0.318288h
loop_count=7400/100000, max_score=88.1703, min_score=80.0603, running_time=0.753036h, search_time=0.323117h
loop_count=7500/100000, max_score=88.1703, min_score=80.2096, running_time=0.766408h, search_time=0.327832h
loop_count=7600/100000, max_score=88.1703, min_score=80.4118, running_time=0.779409h, search_time=0.332523h
loop_count=7700/100000, max_score=88.1703, min_score=80.5905, running_time=0.792414h, search_time=0.337484h
loop_count=7800/100000, max_score=88.1703, min_score=80.8177, running_time=0.806705h, search_time=0.342306h
loop_count=7900/100000, max_score=88.1703, min_score=81.0561, running_time=0.820969h, search_time=0.347053h
loop_count=8000/100000, max_score=88.1703, min_score=81.2459, running_time=0.835804h, search_time=0.351847h
loop_count=8100/100000, max_score=88.1703, min_score=81.4025, running_time=0.851891h, search_time=0.356647h
loop_count=8200/100000, max_score=88.4321, min_score=81.7107, running_time=0.864733h, search_time=0.361341h
loop_count=8300/100000, max_score=88.4321, min_score=81.9791, running_time=0.878342h, search_time=0.366071h
loop_count=8400/100000, max_score=88.4321, min_score=82.2012, running_time=0.891596h, search_time=0.370692h
loop_count=8500/100000, max_score=88.4321, min_score=82.3859, running_time=0.905548h, search_time=0.375513h
loop_count=8600/100000, max_score=88.4321, min_score=82.6751, running_time=0.917513h, search_time=0.380296h
loop_count=8700/100000, max_score=88.4321, min_score=82.8533, running_time=0.930573h, search_time=0.385122h
loop_count=8800/100000, max_score=88.4321, min_score=83.0361, running_time=0.94456h, search_time=0.389807h
loop_count=8900/100000, max_score=88.4321, min_score=83.1798, running_time=0.957636h, search_time=0.394647h
loop_count=9000/100000, max_score=88.5755, min_score=83.3346, running_time=0.973045h, search_time=0.3994h
loop_count=9100/100000, max_score=88.5755, min_score=83.4867, running_time=0.986136h, search_time=0.404162h
loop_count=9200/100000, max_score=88.5755, min_score=83.7101, running_time=0.999701h, search_time=0.408765h
loop_count=9300/100000, max_score=88.5755, min_score=83.8656, running_time=1.01419h, search_time=0.413415h
loop_count=9400/100000, max_score=88.5755, min_score=83.9628, running_time=1.02821h, search_time=0.418094h
loop_count=9500/100000, max_score=88.5755, min_score=84.0832, running_time=1.04169h, search_time=0.422844h
loop_count=9600/100000, max_score=88.5755, min_score=84.1615, running_time=1.05643h, search_time=0.427653h
loop_count=9700/100000, max_score=88.5755, min_score=84.3071, running_time=1.07132h, search_time=0.432423h
loop_count=9800/100000, max_score=88.5755, min_score=84.3946, running_time=1.08456h, search_time=0.437067h
loop_count=9900/100000, max_score=89.1477, min_score=84.5244, running_time=1.09921h, search_time=0.441701h
loop_count=10000/100000, max_score=89.1477, min_score=84.6382, running_time=1.11359h, search_time=0.446633h
loop_count=10100/100000, max_score=89.1477, min_score=84.723, running_time=1.1272h, search_time=0.451473h
loop_count=10200/100000, max_score=89.1477, min_score=84.8479, running_time=1.14095h, search_time=0.45617h
loop_count=10300/100000, max_score=89.434, min_score=84.9341, running_time=1.15403h, search_time=0.461127h
loop_count=10400/100000, max_score=89.434, min_score=85.0833, running_time=1.16801h, search_time=0.465869h
loop_count=10500/100000, max_score=89.8655, min_score=85.2008, running_time=1.18279h, search_time=0.47061h
loop_count=10600/100000, max_score=89.8655, min_score=85.3024, running_time=1.19674h, search_time=0.47533h
loop_count=10700/100000, max_score=89.8655, min_score=85.4133, running_time=1.21128h, search_time=0.480208h
loop_count=10800/100000, max_score=89.8655, min_score=85.5112, running_time=1.22802h, search_time=0.485021h
loop_count=10900/100000, max_score=89.8655, min_score=85.6297, running_time=1.24236h, search_time=0.489877h
loop_count=11000/100000, max_score=90.0575, min_score=85.7168, running_time=1.25673h, search_time=0.494633h
loop_count=11100/100000, max_score=90.0575, min_score=85.7919, running_time=1.27187h, search_time=0.499373h
loop_count=11200/100000, max_score=90.0575, min_score=85.8808, running_time=1.28489h, search_time=0.5042h
loop_count=11300/100000, max_score=90.0575, min_score=85.9558, running_time=1.29935h, search_time=0.508933h
