The seed number is set to 789
loop_count=8700/100000, max_score=85.1373, min_score=72.3376, time=0.395608h
loop_count=8800/100000, max_score=85.1373, min_score=72.4051, time=0.400006h
loop_count=8900/100000, max_score=85.1373, min_score=72.5181, time=0.404583h
loop_count=9000/100000, max_score=85.1373, min_score=72.5909, time=0.409052h
loop_count=9100/100000, max_score=85.1373, min_score=72.6676, time=0.413429h
loop_count=9200/100000, max_score=85.1373, min_score=72.7323, time=0.418104h
loop_count=9300/100000, max_score=85.1373, min_score=72.7837, time=0.422461h
loop_count=9400/100000, max_score=85.1373, min_score=72.8873, time=0.427163h
loop_count=9500/100000, max_score=85.1373, min_score=72.9906, time=0.43165h
loop_count=9600/100000, max_score=85.1373, min_score=73.0404, time=0.436002h
loop_count=9700/100000, max_score=85.1373, min_score=73.0952, time=0.440592h
loop_count=9800/100000, max_score=85.1373, min_score=73.1888, time=0.444818h
loop_count=9900/100000, max_score=85.1373, min_score=73.2308, time=0.449306h
loop_count=10000/100000, max_score=85.1373, min_score=73.2974, time=0.453908h
loop_count=10100/100000, max_score=85.1373, min_score=73.3928, time=0.458214h
loop_count=10200/100000, max_score=85.1373, min_score=73.5147, time=0.46292h
loop_count=10300/100000, max_score=85.1373, min_score=73.6009, time=0.467747h
loop_count=10400/100000, max_score=85.1373, min_score=73.6645, time=0.472451h
loop_count=10500/100000, max_score=85.1373, min_score=73.7437, time=0.47681h
loop_count=10600/100000, max_score=86.9406, min_score=73.8585, time=0.481305h
loop_count=10700/100000, max_score=86.9406, min_score=73.9975, time=0.485958h
loop_count=10800/100000, max_score=86.9406, min_score=74.0785, time=0.490525h
loop_count=10900/100000, max_score=86.9406, min_score=74.1865, time=0.495243h
loop_count=11000/100000, max_score=86.9406, min_score=74.274, time=0.499726h
loop_count=11100/100000, max_score=86.9406, min_score=74.3495, time=0.504509h
loop_count=11200/100000, max_score=86.9406, min_score=74.4416, time=0.508974h
loop_count=11300/100000, max_score=86.9406, min_score=74.4854, time=0.513449h
loop_count=11400/100000, max_score=86.9406, min_score=74.5603, time=0.518117h
loop_count=11500/100000, max_score=86.9406, min_score=74.6085, time=0.522979h
loop_count=11600/100000, max_score=86.9406, min_score=74.6797, time=0.527242h
loop_count=11700/100000, max_score=86.9406, min_score=74.7425, time=0.531822h
loop_count=11800/100000, max_score=86.9406, min_score=74.8236, time=0.536455h
loop_count=11900/100000, max_score=86.9406, min_score=74.932, time=0.540964h
loop_count=12000/100000, max_score=86.9406, min_score=74.9994, time=0.545286h
loop_count=12100/100000, max_score=86.9406, min_score=75.0931, time=0.550009h
loop_count=12200/100000, max_score=86.9406, min_score=75.211, time=0.55452h
loop_count=12300/100000, max_score=86.9406, min_score=75.295, time=0.559271h
loop_count=12400/100000, max_score=86.9406, min_score=75.4512, time=0.563893h
loop_count=12500/100000, max_score=86.9406, min_score=75.5713, time=0.568439h
loop_count=12600/100000, max_score=86.9406, min_score=75.6435, time=0.572949h
loop_count=12700/100000, max_score=86.9406, min_score=75.7241, time=0.577505h
loop_count=12800/100000, max_score=86.9406, min_score=75.815, time=0.582008h
loop_count=12900/100000, max_score=86.9406, min_score=75.8367, time=0.586198h
loop_count=13000/100000, max_score=86.9406, min_score=75.8923, time=0.590935h
loop_count=13100/100000, max_score=86.9406, min_score=76.0134, time=0.595738h
loop_count=13200/100000, max_score=86.9406, min_score=76.1084, time=0.600316h
loop_count=13300/100000, max_score=86.9406, min_score=76.2209, time=0.605225h
loop_count=13400/100000, max_score=86.9406, min_score=76.3097, time=0.609834h
loop_count=13500/100000, max_score=86.9406, min_score=76.381, time=0.614151h
loop_count=13600/100000, max_score=86.9406, min_score=76.5175, time=0.618863h
loop_count=13700/100000, max_score=86.9406, min_score=76.5785, time=0.623265h
loop_count=13800/100000, max_score=86.9406, min_score=76.6301, time=0.627845h
loop_count=13900/100000, max_score=86.9406, min_score=76.722, time=0.63242h
loop_count=14000/100000, max_score=86.9406, min_score=76.8022, time=0.636978h
loop_count=14100/100000, max_score=86.9406, min_score=76.8935, time=0.641663h
loop_count=14200/100000, max_score=87.2177, min_score=77.0009, time=0.646147h
loop_count=14300/100000, max_score=87.2177, min_score=77.0862, time=0.650583h
loop_count=14400/100000, max_score=87.2177, min_score=77.2045, time=0.655426h
loop_count=14500/100000, max_score=87.2177, min_score=77.2958, time=0.660156h
loop_count=14600/100000, max_score=87.2177, min_score=77.3536, time=0.664727h
loop_count=14700/100000, max_score=87.2177, min_score=77.4083, time=0.669254h
loop_count=14800/100000, max_score=87.2177, min_score=77.4772, time=0.673779h
loop_count=14900/100000, max_score=87.2177, min_score=77.5465, time=0.678536h
loop_count=15000/100000, max_score=87.2177, min_score=77.6854, time=0.683427h
loop_count=15100/100000, max_score=87.2177, min_score=77.7275, time=0.68792h
loop_count=15200/100000, max_score=87.2177, min_score=77.805, time=0.692465h
loop_count=15300/100000, max_score=87.2177, min_score=77.9495, time=0.697402h
loop_count=15400/100000, max_score=87.2177, min_score=78.0905, time=0.702069h
loop_count=15500/100000, max_score=87.2177, min_score=78.1739, time=0.706696h
loop_count=15600/100000, max_score=87.2177, min_score=78.2181, time=0.711227h
loop_count=15700/100000, max_score=87.2177, min_score=78.2773, time=0.715977h
loop_count=15800/100000, max_score=87.2177, min_score=78.3164, time=0.720437h
loop_count=15900/100000, max_score=87.2177, min_score=78.4137, time=0.724615h
loop_count=16000/100000, max_score=87.2177, min_score=78.4717, time=0.729213h
loop_count=16100/100000, max_score=87.2177, min_score=78.5658, time=0.733784h
loop_count=16200/100000, max_score=87.2177, min_score=78.6437, time=0.738362h
loop_count=16300/100000, max_score=87.2177, min_score=78.7065, time=0.743375h
loop_count=16400/100000, max_score=87.2177, min_score=78.804, time=0.747965h
loop_count=16500/100000, max_score=87.2177, min_score=78.9594, time=0.752683h
loop_count=16600/100000, max_score=87.2177, min_score=79.0345, time=0.757518h
loop_count=16700/100000, max_score=87.2177, min_score=79.1184, time=0.762473h
loop_count=16800/100000, max_score=87.2177, min_score=79.1753, time=0.766728h
